method,n_trials,calibration_applicable,applicability_reason,strict_pass_rate,relaxed_pass_rate,overstrict_rate,true_fail_rate,nis_mean_median,nis_inband_median
of_farneback__robust_ossm_ekf,160,True,,0.00625,0.05,0.04375,0.95,0.1636895182157126,0.922040863385188
dof__robust_ossm_ekf,160,True,,0.0,0.0,0.0,1.0,0.1530243518222668,0.9379139072847682
profile1d_linear__robust_ossm_ekf,160,True,,0.0,0.0,0.0,1.0,0.101370036495325,0.8993991340745149
profile1d_quadratic__robust_ossm_ekf,160,True,,0.0,0.0,0.0,1.0,0.06692228539326635,0.902665322105759
profile1d_cubic__robust_ossm_ekf,160,True,,0.0,0.0,0.0,1.0,0.06872117238575785,0.9038420453761579
