method,Fail_Total_median,Fail_Total_std,Fail_Div_median,Fail_Div_std,Fail_Slip_median,Fail_Slip_std,Fail_Lock_median,Fail_Lock_std,Fail_Double_median,Fail_Double_std,NIS_Mean_median,NIS_Mean_std,NIS_Pass_median,NIS_Pass_std,NIS_OverStrict_median,NIS_OverStrict_std,NIS_TrueFail_median,NIS_TrueFail_std,NIS_Pass_Relaxed_median,NIS_Pass_Relaxed_std,NIS_InBand_median,NIS_InBand_std,NIS_Mean_DevAbs_median,NIS_Mean_DevAbs_std,NIS_InBand_DevAbs_median,NIS_InBand_DevAbs_std,NIS_pval_median,NIS_pval_std,Lambda_Mean_median,Lambda_Mean_std,Lambda_LT1_Frac_median,Lambda_LT1_Frac_std,Lambda_LowFrac_median,Lambda_LowFrac_std,Coverage95_median,Coverage95_std,FreqStd_Mean_median,FreqStd_Mean_std,Stability_Sec_median,Stability_Sec_std,Method
of_farneback__robust_ossm_ekf,0.0768506313031049,0.14426708682860884,0.0,0.0008676518433936761,0.0,0.0005619469885387439,0.0,0.07051193959483693,0.06774583175445245,0.14028081159519895,0.29065327870441904,0.31317944750174587,0.0,0.15661513939205382,0.0,0.3169727087829607,1.0,0.34545567391708804,0.0,0.34545567391708804,0.9359837539655277,0.07304479401421987,0.7093467212955809,0.2422909323710363,0.015377559364513016,0.07163593485679207,3.1014949816319753e-143,0.09187383376780968,1.17584174740985,0.031048225780239365,0.0645669691654592,0.056116843450121225,0.0,0.004779971486888585,98.84105880845331,3.168363745426669,0.09543022115602501,0.03269675172493564,61.2,4.02223858114065,of_farneback__robust_ossm_ekf
dof__robust_ossm_ekf,0.20442247919295187,0.16871480247930526,0.0,0.0,0.0,0.00043965509745079744,0.08889238960916208,0.11059364789139539,0.16486902875476717,0.18371822453738124,0.15098141276705782,0.04913748210133843,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9360180105036299,0.016880114302705182,0.8490185872329421,0.049137482101338434,0.014029428906755181,0.014842340137464083,1.6069699926980974e-280,1.2004969657456894e-156,1.0739664926869708,0.004396006019693266,0.009929666573546086,0.012654763364112812,0.0,0.0,97.16013824884791,7.783467277729439,0.09582147331634364,0.013723805427244804,61.2,4.02223858114065,dof__robust_ossm_ekf
profile1d_linear__robust_ossm_ekf,0.07867862177185564,0.15290508310541098,0.0,9.154947299259157e-05,0.0,0.00030981860197310803,0.02149614803573748,0.07041551193831884,0.061367046039788375,0.1531675657686682,0.11429291330758415,0.09420368048238598,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9027397304536922,0.0658500510296648,0.8857070866924159,0.09420368048238592,0.0472602695463078,0.06528549728856865,5e-324,2.7240232501718394e-97,1.1455469137249878,0.01474153476515454,0.015721972074781303,0.024153546742704694,0.0,0.0,95.5276048796026,9.935562182998984,0.08778642926267186,0.015792380126835797,61.2,4.02223858114065,profile1d_linear__robust_ossm_ekf
profile1d_quadratic__robust_ossm_ekf,0.10966149084425866,0.17890513141226028,0.0,0.0,0.0,0.0003094378610388849,0.0006963788300835655,0.08135075518898618,0.09365668080232353,0.18064649435839433,0.07626478971376988,0.07666669359214189,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9070770746616799,0.06915435234604335,0.9237352102862302,0.07666669359214189,0.042922925338320095,0.06746561735045731,5e-324,1.3977845425997507e-73,1.000092381604206,7.667074605378732e-06,0.0008156606851549756,0.01844347925068911,0.0,0.0,99.67767908160616,4.201960681948496,0.15185084349770145,0.03197423577807994,61.075,4.936274477714911,profile1d_quadratic__robust_ossm_ekf
profile1d_cubic__robust_ossm_ekf,0.11617557082975344,0.18030558199084348,0.0,0.0,0.0,0.00039240610005701376,0.0,0.07976484310087124,0.10057556701573436,0.1820297738712344,0.07916075232474168,0.07436412848662277,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.908755912961211,0.06865675372338335,0.9208392476752583,0.07436412848662276,0.04124408703878896,0.06693069439749609,5e-324,5.794711990453991e-93,1.0000920924327772,7.436904666107136e-06,0.0008264468454660511,0.017053242162900682,0.0,0.0,99.7180174776237,4.863570992926833,0.14929831679015043,0.032117014377872725,61.05,5.328254377659752,profile1d_cubic__robust_ossm_ekf
