video,method,Fail_Total,Fail_Div,Fail_Slip,Fail_Lock,Fail_Double,NIS_Mean,NIS_Pass,NIS_InBand,NIS_pval,Lambda_Mean,Lambda_LT1_Frac,Lambda_LowFrac,Coverage95,FreqStd_Mean,Stability_Sec,n_frames,data_file
cohface_14_3,profile1d_quadratic__robust_ossm_ukf,0.8121457489878543,0.0,0.0024291497975708503,0.8121457489878543,0.3076923076923077,0.0639548500201681,0.0,0.9368421052631579,0.0,1.0621537924180275,0.0,0.0,99.10931174089069,0.27067215680022555,61.75,1235.0,data/cohface_14_3.pkl
cohface_14_3,profile1D cubic,,,,,,,,,,,,,,,,,data/cohface_14_3.pkl
cohface_14_3,profile1d_cubic__kfstd,,,,,,,,,,,,,,,61.75,,data/cohface_14_3.pkl
cohface_14_3,profile1d_cubic__robust_ossm_ekf,0.9530364372469635,0.0,0.0,0.9530364372469635,0.0,0.015928414691093563,0.0,0.7538461538461538,0.0,1.06547936041621,0.0,0.0,99.10931174089069,0.28005838696429164,61.75,1235.0,data/cohface_14_3.pkl
cohface_14_3,profile1d_cubic__robust_ossm_ukf,0.8129554655870446,0.0,0.0024291497975708503,0.8129554655870446,0.32064777327935223,0.06517409176229089,0.0,0.9376518218623482,0.0,1.0618170321612992,0.0,0.0,99.10931174089069,0.2729087387992872,61.75,1235.0,data/cohface_14_3.pkl
cohface_15_2,of_farneback,,,,,,,,,,,,,,,,,data/cohface_15_2.pkl
cohface_15_2,of_farneback__kfstd,,,,,,,,,,,,,,,61.35,,data/cohface_15_2.pkl
cohface_15_2,of_farneback__robust_ossm_ekf,0.6984515077424613,0.0008149959250203749,0.0,0.6984515077424613,0.045639771801140996,0.8613414590197087,0.0,0.9160554197229014,0.00032593463898789883,1.016964414280879,0.23227383863080683,0.0016299918500407497,98.77750611246944,0.1629302610672906,61.35,1227.0,data/cohface_15_2.pkl
cohface_15_2,of_farneback__robust_ossm_ukf,0.8117359413202934,0.0,0.0024449877750611247,0.8117359413202934,0.0,0.5493632652374496,0.0,0.9584352078239609,2.1068527782696244e-41,1.0328290287711508,0.17440912795436023,0.0,99.59250203748981,0.25945356604403735,61.35,1227.0,data/cohface_15_2.pkl
cohface_15_2,profile1D linear,,,,,,,,,,,,,,,,,data/cohface_15_2.pkl
cohface_15_2,profile1d_linear__kfstd,,,,,,,,,,,,,,,61.35,,data/cohface_15_2.pkl
cohface_15_2,profile1d_linear__robust_ossm_ekf,0.9030154849225754,0.0,0.0,0.9030154849225754,0.0,0.016599620130155753,0.0,0.8394458027709861,0.0,1.0654898538342878,0.0,0.0,99.59250203748981,0.16737830526629735,61.35,1227.0,data/cohface_15_2.pkl
cohface_15_2,profile1d_linear__robust_ossm_ukf,0.8492257538712307,0.0,0.0032599837000814994,0.8492257538712307,0.25835370823145887,0.06119286456923382,0.0,0.9356153219233904,0.0,1.0623494549171402,0.0,0.0,99.59250203748981,0.2360006612923572,61.35,1227.0,data/cohface_15_2.pkl
cohface_15_2,profile1D quadratic,,,,,,,,,,,,,,,,,data/cohface_15_2.pkl
cohface_15_2,profile1d_quadratic__kfstd,,,,,,,,,,,,,,,61.35,,data/cohface_15_2.pkl
cohface_15_2,profile1d_quadratic__robust_ossm_ekf,0.9527302363488183,0.0,0.0,0.9527302363488183,0.0,0.014705606004849284,0.0,0.7962510187449062,0.0,1.0656242149047521,0.0,0.0,99.59250203748981,0.19094890340136997,61.35,1227.0,data/cohface_15_2.pkl
cohface_15_2,profile1d_quadratic__robust_ossm_ukf,0.9079054604726976,0.0,0.0024449877750611247,0.9079054604726976,0.44335778321108393,0.057856753978368404,0.0,0.9136104319478403,0.0,1.0625837646068261,0.0,0.0,99.59250203748981,0.19741245419097117,61.35,1227.0,data/cohface_15_2.pkl
cohface_15_2,profile1D cubic,,,,,,,,,,,,,,,,,data/cohface_15_2.pkl
cohface_15_2,profile1d_cubic__kfstd,,,,,,,,,,,,,,,61.35,,data/cohface_15_2.pkl
cohface_15_2,profile1d_cubic__robust_ossm_ekf,0.9527302363488183,0.0,0.0,0.9527302363488183,0.0,0.01546784383254271,0.0,0.8027709861450693,0.0,1.0655085750938278,0.0,0.0,99.59250203748981,0.18754315637996008,61.35,1227.0,data/cohface_15_2.pkl
cohface_15_2,profile1d_cubic__robust_ossm_ukf,0.9070904645476773,0.0,0.0016299918500407497,0.9070904645476773,0.628361858190709,0.05805784027414366,0.0,0.8989405052974735,0.0,1.0623446521084516,0.0,0.0,99.59250203748981,0.17926586818425702,61.35,1227.0,data/cohface_15_2.pkl
cohface_40_1,of_farneback,,,,,,,,,,,,,,,,,data/cohface_40_1.pkl
cohface_40_1,of_farneback__kfstd,,,,,,,,,,,,,,,61.6,,data/cohface_40_1.pkl
cohface_40_1,of_farneback__robust_ossm_ekf,0.37905844155844154,0.002435064935064935,0.0,0.37905844155844154,0.08766233766233766,1.3149478268689632,0.0,0.8961038961038961,9.796607969292381e-13,1.0024022878545176,0.2922077922077922,0.003246753246753247,98.45779220779221,0.14939209395423,61.6,1232.0,data/cohface_40_1.pkl
cohface_40_1,of_farneback__robust_ossm_ukf,0.6493506493506493,0.0016233766233766235,0.002435064935064935,0.6493506493506493,0.4878246753246753,17024.937997194105,0.0,0.9050324675324676,0.0,1.021107372128674,0.20292207792207792,0.008116883116883116,98.62012987012987,0.16904158547657053,61.6,1232.0,data/cohface_40_1.pkl
cohface_40_1,profile1D linear,,,,,,,,,,,,,,,,,data/cohface_40_1.pkl
cohface_40_1,profile1d_linear__kfstd,,,,,,,,,,,,,,,41.4,,data/cohface_40_1.pkl
cohface_40_1,profile1d_linear__robust_ossm_ekf,0.5787337662337663,0.0008116883116883117,0.0,0.5787337662337663,0.1185064935064935,0.21133959021946003,0.0,0.900974025974026,6.09347200551939e-207,1.0541406592099256,0.016233766233766232,0.0,99.26948051948052,0.20208054424993468,43.45,1232.0,data/cohface_40_1.pkl
cohface_40_1,profile1d_linear__robust_ossm_ukf,0.5113636363636364,0.0,0.004058441558441558,0.5113636363636364,0.14935064935064934,0.13408821393475426,0.0,0.8993506493506493,4.96023785339514e-308,1.057362830509039,0.0,0.0,99.26948051948052,0.40100309562639336,61.6,1232.0,data/cohface_40_1.pkl
cohface_40_1,profile1D quadratic,,,,,,,,,,,,,,,,,data/cohface_40_1.pkl
cohface_40_1,profile1d_quadratic__kfstd,,,,,,,,,,,,,,,61.6,,data/cohface_40_1.pkl
cohface_40_1,profile1d_quadratic__robust_ossm_ekf,0.8125,0.0,0.0,0.8125,0.11363636363636363,0.384108092653972,0.0,0.9691558441558441,3.213189768693314e-93,1.0408298906068094,0.09659090909090909,0.0,81.81818181818181,0.13868700468881617,61.6,1232.0,data/cohface_40_1.pkl
cohface_40_1,profile1d_quadratic__robust_ossm_ukf,0.9196428571428571,0.0,0.006493506493506494,0.9196428571428571,0.0,0.10308383200442016,0.0,0.9342532467532467,0.0,1.0594606764768117,0.0,0.0,99.59415584415585,0.41039146888136746,61.6,1232.0,data/cohface_40_1.pkl
cohface_40_1,profile1D cubic,,,,,,,,,,,,,,,,,data/cohface_40_1.pkl
cohface_40_1,profile1d_cubic__kfstd,,,,,,,,,,,,,,,61.6,,data/cohface_40_1.pkl
cohface_40_1,profile1d_cubic__robust_ossm_ekf,0.8246753246753247,0.0,0.0,0.8246753246753247,0.11201298701298701,0.4467116432598947,0.0,0.9724025974025974,1.5798240454414904e-69,1.0366494734914233,0.10957792207792208,0.0,80.76298701298701,0.13317265986261131,61.6,1232.0,data/cohface_40_1.pkl
cohface_40_1,profile1d_cubic__robust_ossm_ukf,0.952922077922078,0.0,0.006493506493506494,0.952922077922078,0.0,0.09790558156255819,0.0,0.9358766233766234,0.0,1.0595039417428405,0.0,0.0,99.59415584415585,0.4161076053057552,61.6,1232.0,data/cohface_40_1.pkl
cohface_25_3,of_farneback,,,,,,,,,,,,,,,,,data/cohface_25_3.pkl
cohface_25_3,of_farneback__kfstd,,,,,,,,,,,,,,,61.35,,data/cohface_25_3.pkl
cohface_25_3,of_farneback__robust_ossm_ekf,0.2860635696821516,0.0032599837000814994,0.0008149959250203749,0.2860635696821516,0.07171964140179299,1.1609687348510267,0.0,0.9201303993480032,0.0001421114135999879,1.0054865574084668,0.2722086389568052,0.0,95.27302363488182,0.1344533416131836,61.35,1227.0,data/cohface_25_3.pkl
cohface_25_3,of_farneback__robust_ossm_ukf,0.2273838630806846,0.0016299918500407497,0.0008149959250203749,0.2273838630806846,0.13121434392828035,0.9430316629359486,1.0,0.9160554197229014,0.15408672372760548,1.0176806274186312,0.21189894050529748,0.0008149959250203749,99.51100244498778,0.16566653459406547,61.35,1227.0,data/cohface_25_3.pkl
cohface_25_3,profile1D linear,,,,,,,,,,,,,,,,,data/cohface_25_3.pkl
cohface_25_3,profile1d_linear__kfstd,,,,,,,,,,,,,,,61.35,,data/cohface_25_3.pkl
cohface_25_3,profile1d_linear__robust_ossm_ekf,0.5916870415647921,0.0,0.0008149959250203749,0.5916870415647921,0.08475957620211899,0.07729111061609224,0.0,0.9005704971475142,0.0,1.0612498443758553,0.0,0.0,99.51100244498778,0.21095605116544763,61.35,1227.0,data/cohface_25_3.pkl
