video,method,CCC,MAE,RMSE,SNR_Time,Latency,DTW_Dist,IE_Err,PPI_MAE,gt_bpm_avg,est_bpm_avg,data_file
cohface_15_2,of_farneback__kfstd,0.58,0.77,0.92,0.7347503865687557,1281.25,0.5733004667932962,1.309185060085266,0.391319444444445,,,data/cohface_15_2.pkl
cohface_15_2,of_farneback__robust_ossm_ekf,0.57,0.78,0.93,0.6437542232798348,1281.25,0.5760959282477315,1.2202120168481057,0.18687499999999968,,,data/cohface_15_2.pkl
cohface_15_2,DoF,0.56,0.78,0.94,0.622383862817589,-1468.75,0.4570724620998522,0.3299561704120594,2.700625,,,data/cohface_15_2.pkl
cohface_15_2,dof__kfstd,0.32,0.94,1.17,-1.3486217738227315,718.75,0.5336991061686953,0.2854880486792838,2.4920138888888883,,,data/cohface_15_2.pkl
cohface_15_2,dof__robust_ossm_ekf,0.22,1.02,1.25,-1.897912522915881,312.5,0.599386001327257,0.21287419205255254,2.823125,,,data/cohface_15_2.pkl
cohface_15_2,profile1D linear,0.86,0.43,0.52,5.74021906136039,1125.0,0.3587177563325147,0.07115431671845007,0.5985795454545455,,,data/cohface_15_2.pkl
cohface_15_2,profile1d_linear__kfstd,0.94,0.29,0.36,8.968528523745894,1218.75,0.2533838433974885,0.05731334296029278,0.04812499999999975,,,data/cohface_15_2.pkl
cohface_15_2,profile1d_linear__robust_ossm_ekf,0.93,0.29,0.37,8.7708332785122,1187.5,0.24215068551921629,0.016876831661918335,0.038124999999999964,,,data/cohface_15_2.pkl
cohface_15_2,profile1D quadratic,0.9,0.36,0.46,6.854526936711571,968.75,0.30432379259864273,0.13259042814438238,0.011874999999999858,,,data/cohface_15_2.pkl
cohface_15_2,profile1d_quadratic__kfstd,0.95,0.26,0.33,9.656365659669527,-1625.0,0.24233851143828428,0.5912171914745049,0.021874999999999645,,,data/cohface_15_2.pkl
