dataset,observation_class,case_rank,panel_id,video,method,data_file,case_score,residual_energy_ratio,obs_nonosc_need_mean,q_osc_mean,obs_osc_support_mean,waveform_CCC,waveform_MAE,waveform_DTW,rate_MAE,rate_RMSE,rate_PearsonR,rate_source,baseline_energy_ratio,max_abs_zfull_minus_zosc,max_abs_zosc_causal_minus_smoothed,panel_kind,raw_waveform_CCC,raw_waveform_MAE,raw_waveform_DTW,bridge_waveform_CCC,bridge_waveform_MAE,bridge_waveform_DTW,raw_rate_MAE,raw_rate_RMSE,raw_rate_PearsonR,bridge_rate_MAE,bridge_rate_RMSE,bridge_rate_PearsonR,delta_rate_MAE,delta_rate_RMSE,delta_rate_PearsonR,delta_waveform_CCC,delta_waveform_MAE,delta_waveform_DTW,bridge_score
COHFACE,OF_bridge,high_residual,COHFACE_residual_heavy_OF_bridge,cohface_1_3,of_disp_bridge__parh_ossm,data/cohface_1_3.pkl,1.0000,0.0204,0.0799,0.6997,0.8998,0.3376,0.8922,0.6844,5.9700,6.0600,-0.3800,track_hz,0.0147,0.9100,2.6092,residual_heavy_parh,,,,,,,,,,,,,,,,,,,
COHFACE,,worst_bridge_gain,COHFACE_of_bridge_failure,cohface_18_3,,data/cohface_18_3.pkl,,,,,,,,,,,,,,,,of_bridge_failure,0.8085,0.5126,0.4450,0.5126,0.7561,0.6897,0.2100,0.3000,0.0600,9.4600,9.6000,-0.7300,9.2500,9.3000,-0.7900,-0.2959,0.2435,0.2447,-19.7321
