Method,Raw_Kurt,THD,Impulse_Rate,Noise_Kurt,t_AIC_delta,t_fit_nu,Hill_alpha,ARCH_LM_pval,LjungBox_pval,Shapiro_pval,Student_t_justified
OF_Farneback,0.3831062907643409,0.3107456793014998,0.013113621258792951,6.5253632990893635,673.0142767621988,363313188276.09735,3.3628024501959843,6.015606833208842e-248,0.0,2.0221434997948055e-08,True
DoF,0.3831062907643409,0.9468032071266222,0.022212833257599367,9.134491485267779,259.7342552876072,6.380047362294372,2.9110622970498494,6.008288360627688e-248,0.0,3.409424056010213e-08,True
Profile1D_Linear,0.3831062907643409,0.4037436686344352,0.013719654894077865,11.530747193063531,1103.4530207942248,741460897738.428,4.485569505604005,1.728946146490644e-240,2.2857148241153243e-298,5.648527479255098e-06,True
Profile1D_Quad,0.3831062907643409,0.21097045001622766,0.007094191925376034,2.0126893324965414,145.9420621366845,801264893458.6603,4.494231965385711,6.074866947559545e-248,0.0,1.406281002122394e-06,False
Profile1D_Cubic,0.3831062907643409,0.2172578001383138,0.007294216991410074,2.0962622547836647,150.49741908241424,821153930006.6663,4.42860531127229,6.063079483334655e-248,0.0,2.7758180767337136e-06,False
