rate_MAE,rate_RMSE,rate_PearsonR,waveform_CCC,waveform_MAE,waveform_DTW,strict_CCC,strict_MAE,strict_DTW,cycle_ppi_mae_s,artifact_scope,row_id,label,consistency_score,system_confidence_score
0.16999999999999998,0.22,0.965,0.8646640094841285,0.40786510888637934,0.3427913613471178,0.00224604237101715,55.9312863387699,55.776968488426874,0.5577850877192982,same_split_source_run,raw_base_p1dquad,Raw base (P1D_quad),,
0.14500000000000002,0.2,0.9,0.8898029374232789,0.37772246323700853,0.31756302342766163,0.13849999837826443,0.7451647903029934,0.49922872350636827,0.3759523809523809,same_split_source_run,parh_rate_expert,PARH rate expert,,
0.34,0.48,0.79,0.8443992672900014,0.34175468437270773,0.3316801647471883,0.6110195896311499,0.17217936436582448,0.16037049374009404,0.523076923076923,same_split_source_run,adaptive_observation_law,Adaptive observation law,,
0.34,0.48,0.79,0.9190113684427859,0.2980258969541095,0.2746801245274839,0.8497150798419462,0.13823351972528702,0.13376018119882024,0.2921428571428571,same_split_source_run,staged_routed_multioutput,Staged routed multi-output,,
0.62,0.76,0.785,0.9190113684427859,0.2980258969541095,0.2746801245274839,0.8497150798419462,0.13823351972528702,0.13376018119882024,0.2921428571428571,same_split_source_run,waveform_expert_temporal,Waveform expert only,,
0.34,0.48,0.79,0.9190113684427859,0.2980258969541095,0.2746801245274839,0.8497150798419462,0.13823351972528702,0.13376018119882024,0.2921428571428571,same_split_decoupled_system,adaptive_temporal_decoupled,Adaptive-rate decoupled system,0.36421704804320654,0.23259327276044
0.14500000000000002,0.2,0.9,0.9190113684427859,0.2980258969541095,0.2746801245274839,0.8497150798419462,0.13823351972528702,0.13376018119882024,0.2921428571428571,same_split_decoupled_system,decoupled_system,Decoupled system,0.3914836557258904,0.2618692528176081
