observation_class,trial_count,q_obs_mean_mean,q_obs_mean_median,q_obs_median_mean,q_obs_median_median,q_dyn_raw_mean_mean,q_dyn_raw_mean_median,q_dyn_raw_median_mean,q_dyn_raw_median_median,q_dyn_mean_mean,q_dyn_mean_median,q_dyn_median_mean,q_dyn_median_median,q_osc_mean_mean,q_osc_mean_median,q_osc_median_mean,q_osc_median_median,obs_osc_support_mean_mean,obs_osc_support_mean_median,obs_osc_support_median_mean,obs_osc_support_median_median,obs_full_support_mean_mean,obs_full_support_mean_median,obs_full_support_median_mean,obs_full_support_median_median,obs_nonosc_need_mean_mean,obs_nonosc_need_mean_median,obs_nonosc_need_median_mean,obs_nonosc_need_median_median,obs_nonosc_need_eff_mean_mean,obs_nonosc_need_eff_mean_median,obs_nonosc_need_eff_median_mean,obs_nonosc_need_eff_median_median,residual_prior_mean_mean,residual_prior_mean_median,residual_prior_median_mean,residual_prior_median_median,aper_drive_mean_mean,aper_drive_mean_median,aper_drive_median_mean,aper_drive_median_median,helper_trust_mean_mean,helper_trust_mean_median,helper_trust_median_mean,helper_trust_median_median,helper_bias_conf_mean_mean,helper_bias_conf_mean_median,helper_bias_conf_median_mean,helper_bias_conf_median_median,pi_mean_mean,pi_mean_median,pi_median_mean,pi_median_median,lambda_mean_mean,lambda_mean_median,lambda_median_mean,lambda_median_median,lambda_lt095_frac_mean,lambda_lt095_frac_median,nu_mean_mean,nu_mean_median,nu_median_mean,nu_median_median,R_mean_mean,R_mean_median,R_median_mean,R_median_median,helper_mismatch_mean_mean,helper_mismatch_mean_median,helper_mismatch_median_mean,helper_mismatch_median_median,freq_rescue_active_frac_mean,freq_rescue_active_frac_median,output_rate_blend_active_frac_mean,output_rate_blend_active_frac_median,obs_fit_corr_mean,obs_fit_corr_median,obs_fit_rmse_mean,obs_fit_rmse_median,obs_lag_sec_mean,obs_lag_sec_median,obs_g_h1_mean,obs_g_h1_median,obs_g_h2_mean,obs_g_h2_median,obs_g_b_mean,obs_g_b_median,obs_g_r_mean,obs_g_r_median,Qosc_scale_mean_mean,Qosc_scale_mean_median,Qaper_scale_mean_mean,Qaper_scale_mean_median,baseline_energy_ratio_mean,baseline_energy_ratio_median,residual_energy_ratio_mean,residual_energy_ratio_median,max_abs_zfull_minus_zosc_mean,max_abs_zfull_minus_zosc_median,max_abs_zosc_causal_minus_smoothed_mean,max_abs_zosc_causal_minus_smoothed_median
OF_bridge,1,0.9241,0.9241,0.9718,0.9718,0.7241,0.7241,0.9499,0.9499,0.7241,0.7241,0.9499,0.9499,0.6997,0.6997,0.7063,0.7063,0.8998,0.8998,0.9755,0.9755,0.9684,0.9684,0.9987,0.9987,0.0799,0.0799,0.0216,0.0216,0.0799,0.0799,0.0216,0.0216,1.0000,1.0000,1.0000,1.0000,0.3003,0.3003,0.2937,0.2937,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.9241,0.9241,0.9718,0.9718,1.0275,1.0275,1.0000,1.0000,0.0116,0.0116,150.3972,150.3972,200.0000,200.0000,0.4088,0.4088,0.0444,0.0444,0.1034,0.1034,0.0895,0.0895,0.0033,0.0033,0.3173,0.3173,,,,,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.3621,1.3621,2.2011,2.2011,0.0147,0.0147,0.0204,0.0204,0.9100,0.9100,2.6092,2.6092
P1D_cons,1,0.9368,0.9368,0.9707,0.9707,0.3167,0.3167,0.2129,0.2129,0.3167,0.3167,0.2129,0.2129,0.9526,0.9526,0.9813,0.9813,0.9869,0.9869,0.9998,0.9998,0.9943,0.9943,0.9998,0.9998,0.0052,0.0052,0.0002,0.0002,0.0052,0.0052,0.0002,0.0002,1.0000,1.0000,1.0000,1.0000,0.0474,0.0474,0.0187,0.0187,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.9368,0.9368,0.9707,0.9707,1.0130,1.0130,1.0000,1.0000,0.0000,0.0000,176.0194,176.0194,200.0000,200.0000,0.0724,0.0724,0.0524,0.0524,0.0355,0.0355,0.0249,0.0249,0.0000,0.0000,0.0000,0.0000,0.9676,0.9676,0.2099,0.2099,0.0000,0.0000,0.9519,0.9519,1.2585,1.2585,0.0000,0.0000,0.0000,0.0000,1.1583,1.1583,1.1895,1.1895,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7604,0.7604
P1D_quad,1,0.9359,0.9359,0.9678,0.9678,0.3350,0.3350,0.2370,0.2370,0.1843,0.1843,0.1303,0.1303,0.7369,0.7369,0.7098,0.7098,0.9957,0.9957,0.9998,0.9998,0.9976,0.9976,0.9998,0.9998,0.0022,0.0022,0.0002,0.0002,0.0022,0.0022,0.0002,0.0002,1.0000,1.0000,1.0000,1.0000,0.2631,0.2631,0.2902,0.2902,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.9798,0.9798,0.9700,0.9700,1.0144,1.0144,1.0000,1.0000,0.0000,0.0000,170.0143,170.0143,200.0000,200.0000,0.0603,0.0603,0.0533,0.0533,0.0347,0.0347,0.0268,0.0268,0.0000,0.0000,0.0000,0.0000,0.9863,0.9863,0.1136,0.1136,0.0000,0.0000,0.9471,0.9471,1.1331,1.1331,0.0000,0.0000,0.0000,0.0000,1.0921,1.0921,2.0522,2.0522,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4382,0.4382
