dataset,observation_class,Base_method,Base_peak_time_mae_s,Base_trough_time_mae_s,Base_cycle_ppi_mae_s,Base_cycle_ie_abs_err,Base_N,OSSM_KF_method,OSSM_KF_peak_time_mae_s,OSSM_KF_trough_time_mae_s,OSSM_KF_cycle_ppi_mae_s,OSSM_KF_cycle_ie_abs_err,OSSM_KF_N,PARH_method,PARH_peak_time_mae_s,PARH_trough_time_mae_s,PARH_cycle_ppi_mae_s,PARH_cycle_ie_abs_err,PARH_N,comparison_scope,coverage_note
COHFACE,PARH-OSSM,profile1D quadratic,3.4500,3.2950,0.7175,0.1809,160,profile1d_quadratic__ossm_kf,2.6926,2.9347,0.5336,0.1106,160,parh_ossm,1.3336,1.8955,0.3466,0.0904,160,same_trials,all reported methods evaluated on N=160 trials
MAHNOB,PARH-OSSM,profile1D quadratic,18.4309,18.9163,1.6851,0.3888,488,profile1d_quadratic__ossm_kf,10.8756,11.1362,1.4037,0.3395,488,parh_ossm,10.1744,9.9431,1.4798,0.2687,525,full_dataset_with_baseline_coverage_limit,"PARH-OSSM reports the full final dataset; representative direct and OSSM-KF comparator rows are computable for Base_N=488, OSSM_KF_N=488, PARH_N=525 trials"
