scenario,role,strict_CCC,strict_MAE_raw,strict_DTW_raw,strict_NMAE_span,strict_NRMSE_span,strict_NDTW_span
COHFACE->MAHNOB,default decoupled,5.712330576959831e-06,834.1110139330829,807.0851529600013,0.11838594572149304,0.17409286153794212,0.11526582169444047
COHFACE->MAHNOB,consistency-first robust,-1.0763067871865507e-06,906.1358578663934,838.022467722624,0.12300053237300201,0.18365459877412352,0.11371057770362909
COHFACE->MAHNOB,waveform-first robust,-6.942978190499751e-07,834.128368068948,807.0851529600013,0.11839072305916402,0.17409286153794212,0.11526781394631544
MAHNOB within,adaptive+temporal decoupled,-2.8760430120199835e-06,1083.586192321812,1066.12795964266,0.11549012873477742,0.17430521369853522,0.11267444917732511
MAHNOB within,p1dquad+temporal decoupled,-2.8760430120199835e-06,1083.586192321812,1066.12795964266,0.11549012873477742,0.17430521369853522,0.11267444917732511
MAHNOB within,consistency-first robust,-2.877443653897445e-06,1114.225120972568,1100.542735523941,0.11593505001875459,0.17504466549746733,0.11400696517060671
MAHNOB within,waveform-first robust,-1.806719057474687e-06,1083.7343117847597,1066.1487921971184,0.11549038698504199,0.1743112087638205,0.11267444917732511
