dataset,observation_class,Base_method,Base_CCC,Base_MAE,Base_RMSE,Base_DTW,Base_gt_span_p95p05,Base_NMAE_span,Base_NRMSE_span,Base_NDTW_span,Base_N,OSSM_KF_method,OSSM_KF_CCC,OSSM_KF_MAE,OSSM_KF_RMSE,OSSM_KF_DTW,OSSM_KF_gt_span_p95p05,OSSM_KF_NMAE_span,OSSM_KF_NRMSE_span,OSSM_KF_NDTW_span,OSSM_KF_N,PARH_method,PARH_CCC,PARH_MAE,PARH_RMSE,PARH_DTW,PARH_gt_span_p95p05,PARH_NMAE_span,PARH_NRMSE_span,PARH_NDTW_span,PARH_N,comparison_scope,coverage_note
COHFACE,PARH-OSSM,profile1D quadratic,0.0020,52.8940,66.0190,53.0510,0.8300,53.4020,68.3970,52.9600,160,profile1d_quadratic__ossm_kf,0.1190,0.7520,0.9170,0.5540,0.8300,0.8670,1.0650,0.6370,160,parh_ossm,0.1570,0.5040,0.5810,0.3020,0.8300,0.5480,0.6200,0.2920,160,same_trials,all reported methods evaluated on N=160 trials
MAHNOB,PARH-OSSM,profile1D quadratic,0.0010,1255.4980,1812.1330,933.8550,5163.8630,0.2360,0.3380,0.1720,488,profile1d_quadratic__ossm_kf,0.0000,908.5170,1325.7500,894.1740,5163.8630,0.1870,0.2670,0.1790,488,parh_ossm,0.0000,1354.2350,3122.7410,1349.6430,5242.0550,0.2580,0.5070,0.2570,525,full_dataset_with_baseline_coverage_limit,"PARH-OSSM reports the full final dataset; representative direct and OSSM-KF comparator rows are computable for Base_N=488, OSSM_KF_N=488, PARH_N=525 trials"
