schema_version,method,trial,n_frames,missing_frame_log,missing_reason,frame_log_filename_used,frame_log_resolution_mode,frame_log_suffix_used,welch_df_hz,q_vis_mean,q_vis_std,q_vis_nan_rate,q_drift_mean,q_cons_mean,q_out_mean,q_harm_mean,q_burst_rate,alpha_R_mean,alpha_Q_mean,g_t_mean,g_z_mean,w_h_mean,g_z_eff_mean,lambda_mean,lambda_lt1_frac,lambda_low_frac,qx_base_mean,qf_base_mean,rv_base_mean,qx_used_mean,qf_used_mean,rv_scaled_mean,R_post_mean,freq_low_clip_rate,freq_high_clip_rate,z_low_clip_rate,z_high_clip_rate,invalid_row_rate
method_quality.v1,of_farneback__robust_ossm_ekf,10_0,1227,False,,10_0_1.npz,manifest,1,0.25,0.6544325711112096,0.0040242656417608805,0.0,0.1853393822587242,0.3425035422946601,0.3077889300714804,0.4545226338948753,0.006519967400162999,1.0,1.352144826291576,1.0,1.0,1.0,1.0,1.067362070137132,0.017114914425427872,0.0,0.0052434899853478,0.003989988534231159,0.05920118756540683,0.0070899578553997224,0.00539504235352337,0.05920118756540683,0.055493566751474106,0.0057049714751426246,0.0,0.0057049714751426246,0.0,0.0
method_quality.v1,dof__robust_ossm_ekf,10_0,1227,False,,10_0_1.npz,manifest,1,0.25,0.6544325711112096,0.0040242656417608805,0.0,0.1853393822587242,0.25317435117371856,0.2915811647336842,0.41248792834905756,0.0016299918500407497,1.8827391253536747,1.352144826291576,0.45573484132949094,0.354092588687717,0.5379224120087263,0.18207070225713787,1.0778233000139599,0.0,0.0,0.0034415873444170195,0.0012946361357444528,1.5507476011561812,0.004653524521984037,0.0017505355528769802,2.919653182245098,2.7108947374018864,0.0,0.0,0.0,0.0,0.0
method_quality.v1,profile1d_linear__robust_ossm_ekf,10_0,1227,False,,10_0_1.npz,manifest,1,0.25,0.6544325711112096,0.0040242656417608805,0.0,0.1853393822587242,0.443405920531974,0.2918623143555995,0.4014528621690081,0.006519967400162999,1.0,1.352144826291576,1.0,1.0,1.0,1.0,1.0753579516985485,0.013854930725346373,0.0,0.003638053551861837,0.0033366836455169116,2.152899618376129,0.0049191752879216765,0.0045116795282574085,2.152899618376129,2.0028137240350548,0.08149959250203749,0.0,0.08149959250203749,0.0,0.0
method_quality.v1,profile1d_quadratic__robust_ossm_ekf,10_0,1227,False,,10_0_1.npz,manifest,1,0.25,0.6544325711112096,0.0040242656417608805,0.0,0.1853393822587242,0.40619851896748566,0.2894986491634875,0.4773143080840989,0.0016299918500407497,1.0,1.352144826291576,1.0,1.0,1.0,1.0,1.0769832159778037,0.0,0.0,0.003632969606104736,0.003329420865863909,2.150390163845866,0.004912301056969064,0.004501859198325104,2.150390163845866,1.9968345250762978,0.0,0.0,0.0,0.0,0.0
method_quality.v1,profile1d_cubic__robust_ossm_ekf,10_0,1227,False,,10_0_1.npz,manifest,1,0.25,0.6544325711112096,0.0040242656417608805,0.0,0.1853393822587242,0.4044023785317475,0.2903698701295803,0.4724785571239485,0.0016299918500407497,1.0,1.352144826291576,1.0,1.0,1.0,1.0,1.0768114361253167,0.0,0.0,0.0036366774769463193,0.0033347178242090283,2.1522203826809196,0.004917314635344066,0.004509021453146539,2.1522203826809196,1.9988609893267377,0.0,0.0,0.0,0.0,0.0
method_quality.v1,of_farneback__robust_ossm_ekf,10_1,1227,False,,10_1_1.npz,manifest,1,0.25,0.6615429352221216,0.0029506260659583777,0.0,0.1810782929187621,0.3177043956189377,0.2722336568883642,0.40220616220903166,0.017114914425427872,1.0,1.344048756545648,1.0,1.0,1.0,1.0,1.0638312091036464,0.04482477587612062,0.0,0.005277971301098348,0.003936448905278364,0.05908312140715178,0.007093850764324852,0.005290779256344863,0.05908312140715178,0.05558205989723503,0.0,0.0016299918500407497,0.0,0.0016299918500407497,0.0
method_quality.v1,dof__robust_ossm_ekf,10_1,1227,False,,10_1_1.npz,manifest,1,0.25,0.6615429352221216,0.0029506260659583777,0.0,0.1810782929187621,0.23535980220927313,0.3061356030004845,0.42444929158074574,0.0016299918500407497,1.9038900112275843,1.344048756545648,0.4562302312122638,0.3446118838480303,0.537616931184949,0.17526906605865955,1.0771289645964444,0.0,0.0,0.003546409576904536,0.0013495169233619995,1.5857641082942084,0.0047665473820401195,0.0018138165427820038,3.0191204459445613,2.8069739542828085,0.0,0.0,0.0,0.0,0.0
method_quality.v1,profile1d_linear__robust_ossm_ekf,10_1,1227,False,,10_1_1.npz,manifest,1,0.25,0.6615429352221216,0.0029506260659583777,0.0,0.1810782929187621,0.3793404077231489,0.27724876255673514,0.40477171461507294,0.006519967400162999,1.0,1.344048756545648,1.0,1.0,1.0,1.0,1.0745812352093917,0.018744906275468622,0.0,0.0037093765800842392,0.0034385736858346277,2.1881049303200557,0.004985582980021771,0.004621610686736617,2.1881049303200557,2.0372709519855565,0.08638956805215973,0.0,0.08557457212713937,0.0,0.0
method_quality.v1,profile1d_quadratic__robust_ossm_ekf,10_1,1227,False,,10_1_1.npz,manifest,1,0.25,0.6615429352221216,0.0029506260659583777,0.0,0.1810782929187621,0.38284762389332644,0.2553217625876262,0.4274423040826486,0.0008149959250203749,1.0,1.344048756545648,1.0,1.0,1.0,1.0,1.0782572128845243,0.0,0.0,0.0037392061690887735,0.0034811873844125367,2.202828926373465,0.005025675402031583,0.004678885575322066,2.202828926373465,2.043044194091491,0.0,0.0,0.0,0.0,0.0
method_quality.v1,profile1d_cubic__robust_ossm_ekf,10_1,1227,False,,10_1_1.npz,manifest,1,0.25,0.6615429352221216,0.0029506260659583777,0.0,0.1810782929187621,0.38109341849686657,0.2555232476967601,0.4246181074339231,0.0024449877750611247,1.0,1.344048756545648,1.0,1.0,1.0,1.0,1.0781609628155424,0.0,0.0,0.00374043883652763,0.0034829483378966157,2.203437375604935,0.005027332167170012,0.004681252382662677,2.203437375604935,2.0437946914788636,0.0,0.0,0.0,0.0,0.0
method_quality.v1,of_farneback__robust_ossm_ekf,10_2,1221,False,,10_2_1.npz,manifest,1,0.25,0.5613818799524272,0.00194375601285599,0.0,0.13324806544490808,0.3903120866668326,0.3499831747891352,0.4184250467992326,0.003276003276003276,1.0,1.2531713243453253,1.0,1.0,1.0,1.0,1.0698645804910347,0.013923013923013924,0.0,0.006933949991283434,0.003950575051374528,0.09166682389859258,0.008689427293520917,0.0049507473690566205,0.09166682389859258,0.08571299425997986,0.0,0.0,0.0,0.0,0.0
method_quality.v1,dof__robust_ossm_ekf,10_2,1221,False,,10_2_1.npz,manifest,1,0.25,0.5613818799524272,0.00194375601285599,0.0,0.13324806544490808,0.24680747428590813,0.33516024561125846,0.287048154139352,0.0,1.8382151987327267,1.2531713243453253,0.48432125710245655,0.3694793508298979,0.5578490123859186,0.19429403138690216,1.0792127612151663,0.0,0.0,0.004504786266376891,0.0017161129407007457,1.5892612681646237,0.005645268971328163,0.0021505835266241043,2.921404217897459,2.7092903433208937,0.0,0.0,0.0,0.0,0.0
method_quality.v1,profile1d_linear__robust_ossm_ekf,10_2,1221,False,,10_2_1.npz,manifest,1,0.25,0.5613818799524272,0.00194375601285599,0.0,0.13324806544490808,0.4617565536297569,0.32621919523288034,0.42575377637347617,0.004095004095004095,1.0,1.2531713243453253,1.0,1.0,1.0,1.0,1.0802085882059924,0.0,0.0,0.004329478606182249,0.0036272678218493013,2.08818034655479,0.005425578438634164,0.004545588020062072,2.08818034655479,1.933160196607848,0.0,0.0,0.0,0.0,0.0
