operating_point,dataset,description,window_sec,window_stride_sec,min_support_corr,max_support_residual,run_dir,rate_MAE,rate_RMSE,rate_MAPE,rate_PearsonR,rate_Bias,rate_LoA_Width,rate_KL_Div,rate_Entropy_Err,rate_gt_bpm_avg,rate_est_bpm_avg,wave_waveform_CCC,wave_waveform_MAE,wave_waveform_DTW,wave_latency_ms,strict_strict_CCC,strict_strict_MAE,strict_strict_RMSE,strict_strict_DTW,strict_gt_span_p95p05,strict_strict_NMAE_span,strict_strict_NRMSE_span,strict_strict_NDTW_span,strict_peak_time_mae_s,strict_trough_time_mae_s,strict_cycle_ppi_mae_s,strict_cycle_ie_abs_err,strict_n_peaks_est,strict_n_peaks_gt,strict_n_troughs_est,strict_n_troughs_gt,guard_coverage,guard_alpha_mean,guard_alpha_median,guard_alpha_active_fraction,guard_ambiguous_alias_fraction,guard_unresolved_p1d_alias_fraction,guard_p1d_half_rescue_fraction,guard_weak_direct_macro_fraction,guard_alias_risk_mean,guard_h1_role_support_mean,guard_morphology_alias_pressure_mean,guard_abstain_pressure_mean,guard_large_downshift_fraction,guard_well_supported_downshift_fraction,guard_guarded_downshift_fraction,guard_high_base_conflict_fraction,guard_posterior_confidence_mean,guard_posterior_entropy_median,guard_posterior_top_gap_median,guard_posterior_macro_support_median,guard_posterior_direct_macro_support_median,guard_posterior_motion_direct_support_median,guard_posterior_alias_risk_median,guard_posterior_independent_timing_support_median,guard_posterior_bridge_timing_preservation_median,guard_posterior_morphology_alias_pressure_median,guard_posterior_h1_role_support_median,guard_posterior_abstain_pressure_median,guard_posterior_signal_sqi_support_median,guard_posterior_phase_coherence_support_median,guard_specific_posterior_correction_fraction
locked_default,COHFACE,current locked paper setting; balanced locality and stability,30.0,10.0,0.25,1.25,results/final_operating_point_sensitivity/locked_default/cohface,0.28,0.32,2.67,0.92,0.2748608563337628,0.7568759104507339,0.15087060000000002,0.19054221999999998,11.372472809296106,12.045138675560631,0.8698718304796367,0.41309410047315304,0.3400503343024823,1000.0,0.1816837240661343,0.4941069437623685,0.5811299486827808,0.2966544672872786,0.7846695065011666,0.5788065270508551,0.681111315633836,0.34384850458255334,1.0500000000000003,1.1508928571428572,0.3335664335664335,0.09084006994423541,12.0,12.0,12.0,12.0,1.0,0.25198980774412383,0.25174942806955747,1.0,0.0,0.0,0.0,0.0,6.046872868020877e-06,0.8875023739235272,6.046872868020877e-06,0.036024042437461753,0.0,0.0,0.0,0.0,0.31797137415431087,0.7826589834759556,0.36216742950263425,1.0,1.0,0.8525220552615378,3.833865327223647e-06,0.9927720485755226,0.40842615126330384,3.833865327223647e-06,0.8890527307037905,0.03332987525842125,0.6858872181850383,0.7849069107253632,0.8386193786943729
locked_default,MAHNOB_tailaligned,current locked paper setting; balanced locality and stability,30.0,10.0,0.25,1.25,results/final_operating_point_sensitivity/locked_default/mahnob_tailaligned,3.365,3.98,24.4,0.28,0.5455660485569197,10.932294318762015,1.20135725,0.261853455,14.526748464074139,14.337072606581577,0.3334234592334113,0.8902052054017229,0.6980559338680783,-14271.484375,2.5550915546448428e-06,1274.113195749143,3585.988933470036,1320.7554781342199,4790.114818447424,0.23599512767249406,0.5326979433669079,0.238393091121909,18.928353204172875,18.827322404371586,2.9075591985428053,0.2735160818306276,29.0,19.0,29.0,20.0,1.0,0.17430787579268053,0.1876809478310682,1.0,0.0346118928733545,0.0,0.0,0.0,0.0010662161185346225,0.7923615850184828,0.0010662161185346225,0.1168421760822226,0.0,0.0,0.0,0.0,0.1600528417132538,0.931829573255901,0.1632548767675196,0.6666666666666666,0.6666666666666666,0.6520316454914858,6.194621693415459e-09,0.9735281401852334,0.14108376968081898,6.194621693415459e-09,0.8044768917669558,0.11216969425807095,0.41204763797628285,0.5764876852435403,0.1584059114221426
more_local_windows,COHFACE,more local target reliability; tests within-trial adaptation without new labels,20.0,5.0,0.25,1.25,results/final_operating_point_sensitivity/more_local_windows/cohface,0.275,0.32,2.67,0.91,0.2494270112081069,0.7510726457489008,0.16087252000000002,0.154633995,11.372472809296106,12.001160920388726,0.8678432468145268,0.4165397904635269,0.3432173244176673,1000.0,0.1705229619157456,0.5050973916988057,0.5928087607194001,0.29455851153136436,0.7846695065011666,0.5878413603206041,0.7140349690059535,0.3500435330740326,1.0738636363636362,1.2753246753246752,0.34318181818181814,0.089352435735785,12.0,12.0,12.0,12.0,1.0,0.24022631415098222,0.24213480021996203,1.0,0.0,0.0,0.0,0.0,7.894113217403581e-06,0.8866243407985237,7.894113217403581e-06,0.0375510838023695,0.0,0.0,0.0,0.0,0.2843001014611368,0.7885298614817154,0.33466755069176435,1.0,1.0,0.8449375684325074,3.818635334486159e-06,0.9933350430949135,0.4057964215247222,3.818635334486159e-06,0.8926247761512719,0.03279969773519435,0.735562433691576,0.871814361022626,0.8169983720105969
more_local_windows,MAHNOB_tailaligned,more local target reliability; tests within-trial adaptation without new labels,20.0,5.0,0.25,1.25,results/final_operating_point_sensitivity/more_local_windows/mahnob_tailaligned,3.355,3.84,23.950000000000003,0.14,0.2793811194089914,10.849600191471808,1.0668394,0.220270155,14.526748464074139,14.420078520403262,0.3437839323823579,0.8909165876879022,0.6873668908149654,-15839.84375,4.298965598991716e-06,1274.1089727664128,3585.993162635482,1320.7442989956382,4790.114818447424,0.23599468949172364,0.5326977631462281,0.23839273845998632,18.6609394703657,18.167660208643817,2.9716757741347903,0.28669267115926195,29.0,19.0,29.0,20.0,1.0,0.1688910726076555,0.1852707714092214,1.0,0.08596222441795295,0.0,0.0,0.0,0.00403039778751285,0.7854418549436603,0.00403039778751285,0.12528519980762245,0.030180715226120848,0.0,0.030180715226120848,0.0,0.16835585350968524,0.9415601707005897,0.1637973812531012,0.6666666666666666,0.6666666666666666,0.6442928696354822,8.69124600370409e-10,0.9692459918557343,0.1234117391459493,8.69124600370409e-10,0.8167140993258096,0.10779443441909775,0.45820807338480884,0.6454360060022597,0.1692681308139088
more_stable_windows,COHFACE,longer reliability windows; tests whether MAHNOB needs more stable evidence aggregation,45.0,15.0,0.25,1.25,results/final_operating_point_sensitivity/more_stable_windows/cohface,0.345,0.395,3.005,0.92,0.3380977165277488,0.8636860909648906,0.17609789,0.190806385,11.372472809296106,12.026370138734944,0.8639881814458572,0.4147326131102115,0.34301942648632977,1000.0,0.18747145842230906,0.5035684535108045,0.5852023056969802,0.27686817460989277,0.7846695065011666,0.589710396399052,0.6996329637016424,0.3349477399554783,1.0773076923076923,1.1585227272727272,0.3374125874125874,0.10232540379197516,12.0,12.0,12.0,12.0,1.0,0.24174660235170214,0.2403273460656978,1.0,0.0,0.0,0.0,0.0,2.7956838708886954e-06,0.8984791829887642,2.7956838708886954e-06,0.03045676278404905,0.0,0.0,0.0,0.0,0.29262690241509326,0.7924929793158971,0.361303804659143,1.0,1.0,0.8424240227575505,2.3267576074630453e-06,0.9928779262871573,0.4166818465616381,2.3267576074630453e-06,0.8971020135734424,0.03087036306755205,0.638008285632762,0.6698131772933813,0.7598993095143541
more_stable_windows,MAHNOB_tailaligned,longer reliability windows; tests whether MAHNOB needs more stable evidence aggregation,45.0,15.0,0.25,1.25,results/final_operating_point_sensitivity/more_stable_windows/mahnob_tailaligned,3.28,3.8449999999999998,23.43,0.305,0.745352210168067,10.410337216083317,1.2142762,0.28743887,14.526748464074139,14.946037777050632,0.3294059330394933,0.9031907323011462,0.7006194722946665,-13873.046875,3.563244272330241e-06,1274.1112357452096,3585.9956666086136,1320.7430108147073,4790.114818447424,0.23599509196687415,0.5326984316173329,0.23839242012346645,19.236997019374066,19.19068554396423,3.0139344262295085,0.286668048143234,29.0,19.0,29.0,20.0,1.0,0.17577012702444228,0.1894304410092923,1.0,0.0,0.0,0.0,0.0,5.3566983593188975e-05,0.7943594166701361,5.3566983593188975e-05,0.11699628411060806,0.04851454836656825,0.0,0.0,0.0,0.1649269060023542,0.93940723163388,0.1678846668426734,0.6666666666666666,0.6666666666666666,0.6529394395252237,1.201631422320442e-08,0.9572117718780506,0.12162999009189525,1.201631422320442e-08,0.8117275090784495,0.1040326150934554,0.3500346132673344,0.5262971810328647,0.0
stricter_cross_family_support,COHFACE,higher agreement requirement; tests whether weak cross-family edges should abstain,30.0,10.0,0.3,1.0,results/final_operating_point_sensitivity/stricter_cross_family_support/cohface,0.28,0.32,2.67,0.92,0.2748623733191463,0.7568535193884786,0.15087060000000002,0.19054221999999998,11.372472809296106,12.04513624757799,0.8698718304796367,0.41309410047315304,0.3400534419103945,1000.0,0.1816837240661343,0.4941069437623685,0.5811299486827808,0.29665242904916184,0.7846695065011666,0.5788065270508551,0.681111315633836,0.34384850458255334,1.0500000000000003,1.1508928571428572,0.3335664335664335,0.09084006994423541,12.0,12.0,12.0,12.0,1.0,0.25198980774412383,0.25174942806955747,1.0,0.0,0.0,0.0,0.0,6.046872868020877e-06,0.8875023739235272,6.046872868020877e-06,0.036024042437461753,0.0,0.0,0.0,0.0,0.31797137415431087,0.7826589834759556,0.36216742950263425,1.0,1.0,0.8525220552615378,3.833865327223647e-06,0.9927720485755226,0.40842615126330384,3.833865327223647e-06,0.8890527307037905,0.03332987525842125,0.6858872181850383,0.7849069107253632,0.8386193786943729
stricter_cross_family_support,MAHNOB_tailaligned,higher agreement requirement; tests whether weak cross-family edges should abstain,30.0,10.0,0.3,1.0,results/final_operating_point_sensitivity/stricter_cross_family_support/mahnob_tailaligned,3.365,3.98,24.405,0.28,0.5455307943541423,10.932177915201114,1.20152335,0.26192927499999996,14.526748464074139,14.33706135352697,0.333423465205133,0.8902069145217381,0.6980425310628486,-14271.484375,2.5554409141940477e-06,1274.1132002621816,3585.988938326672,1320.7554852620483,4790.114818447424,0.23599512779836573,0.5326979436823153,0.23839308872354137,18.928353204172875,18.827322404371586,2.9075591985428053,0.2735160818306276,29.0,19.0,29.0,20.0,1.0,0.17430787579268053,0.1876809478310682,1.0,0.0346118928733545,0.0,0.0,0.0,0.0010662165221150541,0.7923484748749743,0.0010662165221150541,0.11682121549540725,0.0,0.0,0.0,0.0,0.159777131097811,0.931829573255901,0.1632548767675196,0.6666666666666666,0.6666666666666666,0.6520316454914858,6.194621693415459e-09,0.9735281401852334,0.14108376968081898,6.194621693415459e-09,0.8044768917669558,0.11216969425807095,0.41204763797628285,0.5768824647086875,0.1584059114221426
looser_cross_family_support,COHFACE,lower agreement requirement; tests whether hard regimes are under-supported,30.0,10.0,0.2,1.5,results/final_operating_point_sensitivity/looser_cross_family_support/cohface,0.28,0.32,2.67,0.92,0.2748608563337628,0.7568723213343933,0.15087060000000002,0.19054221999999998,11.372472809296106,12.045138675560631,0.8698718304796367,0.41309410047315304,0.3400503343024823,1000.0,0.1816837240661343,0.4941069437623685,0.5811299486827808,0.2966544672872786,0.7846695065011666,0.5788065270508551,0.681111315633836,0.34384850458255334,1.0500000000000003,1.1508928571428572,0.3335664335664335,0.09084006994423541,12.0,12.0,12.0,12.0,1.0,0.25198980774412383,0.25174942806955747,1.0,0.0,0.0,0.0,0.0,6.046872868020877e-06,0.8875023739235272,6.046872868020877e-06,0.036024042437461753,0.0,0.0,0.0,0.0,0.31797137415431087,0.7826589834759556,0.36216742950263425,1.0,1.0,0.8525220552615378,3.833865327223647e-06,0.9927720485755226,0.40842615126330384,3.833865327223647e-06,0.8890527307037905,0.03332987525842125,0.6858872181850383,0.7849069107253632,0.8386193786943729
looser_cross_family_support,MAHNOB_tailaligned,lower agreement requirement; tests whether hard regimes are under-supported,30.0,10.0,0.2,1.5,results/final_operating_point_sensitivity/looser_cross_family_support/mahnob_tailaligned,3.365,3.98,24.4,0.28,0.545560255021958,10.932294318762015,1.20150465,0.261683705,14.526748464074139,14.336971676377516,0.3334254863087859,0.8902052054017229,0.6958364151617817,-14271.484375,1.8780699966332927e-06,1274.1132029946152,3585.9889300610625,1320.7554765738664,4790.114818447424,0.23599585010895519,0.5326979457819034,0.23839377052384042,18.928353204172875,18.827322404371586,2.9075591985428053,0.2735160818306276,29.0,19.0,29.0,20.0,1.0,0.17430787579268053,0.1876809478310682,1.0,0.0346118928733545,0.0,0.0,0.0,0.0010662161185346225,0.7923886232070451,0.0010662161185346225,0.1168421760822226,0.0,0.0,0.0,0.0,0.1600012346149737,0.931829573255901,0.1632548767675196,0.6666666666666666,0.6666666666666666,0.6520316454914858,6.194621693415459e-09,0.9735281401852334,0.14108376968081898,6.194621693415459e-09,0.8044768917669558,0.11216969425807095,0.41204763797628285,0.5764876852435403,0.1584059114221426
