dataset,family,stage,trial_count,n_samples_mean,n_samples_median,duration_sec_mean,duration_sec_median,fs_obs_mean,fs_obs_median,fs_gt_mean,fs_gt_median,stage_mean_mean,stage_mean_median,stage_std_mean,stage_std_median,stage_median_mean,stage_median_median,stage_mad_mean,stage_mad_median,stage_sigma_hat_mean,stage_sigma_hat_median,stage_clipped_frac_mean,stage_clipped_frac_median,scale_ratio_to_gt_mean,scale_ratio_to_gt_median,corr_wave_best_mean,corr_wave_best_median,ccc_wave_best_z_mean,ccc_wave_best_z_median,lag_wave_sec_mean,lag_wave_sec_median,sign_wave_best_mean,sign_wave_best_median,corr_deriv_best_mean,corr_deriv_best_median,ccc_deriv_best_z_mean,ccc_deriv_best_z_median,lag_deriv_sec_mean,lag_deriv_sec_median,sign_deriv_best_mean,sign_deriv_best_median,peak_hz_mean,peak_hz_median,gt_peak_hz_mean,gt_peak_hz_median,peak_error_hz_mean,peak_error_hz_median,peak_power_mean,peak_power_median,peak_sharpness_mean,peak_sharpness_median,harmonic_ratio_mean,harmonic_ratio_median,lowfreq_energy_ratio_mean,lowfreq_energy_ratio_median,band_energy_ratio_mean,band_energy_ratio_median,highfreq_energy_ratio_mean,highfreq_energy_ratio_median,vs_saved_base_rmse_mean,vs_saved_base_rmse_median,vs_saved_base_corr_mean,vs_saved_base_corr_median,roi_snr_db_mean_mean,roi_snr_db_mean_median,valid_ratio_mean_mean,valid_ratio_mean_median,center_disp_mean_mean,center_disp_mean_median,roi_mean_mean_mean,roi_mean_mean_median,roi_std_mean_mean,roi_std_mean_median,center_disp_std_mean,center_disp_std_median
COHFACE,DoF,bandpass_only,160,1232.23125,1224.0,61.611562500000005,61.2,20.0,20.0,32.0,32.0,88.7225995082583,83.75817371696857,477.74288297931196,445.8342339957976,39.688451693329434,31.015242443072566,248.78518380173256,223.38852895782355,368.8489135044486,331.1958330328692,0.0,0.0,3149.128747712649,1005.6007752453522,0.433132214511995,0.43636954931679384,0.433132214511995,0.43636954931679384,-0.5721875000000001,-0.9,-0.1875,-1.0,0.3824658385883376,0.3721659506827649,0.3824658385883376,0.3721659506827648,-0.04031250000000002,-0.7,0.0625,1.0,0.22208333333333333,0.2,0.21583333333333332,0.2,0.0062499999999999995,0.0,605837.1882092922,338351.31395110197,2.6286664130223096,2.2309225503666754,0.397746565668673,0.26910132823290767,0.10151794710985076,0.0900969678263253,0.6490658879216881,0.6592059550839544,0.07694971419713631,0.0705329381439634,2937.9678888737567,2814.9434217699427,0.24209312249453552,0.22703296944027518,3.6155785735974284,3.4634950168508594,1.0,1.0,0.0024618136061783586,0.0020625991191270503,58.37367697717965,48.02200895763117,33.80615483182042,33.0581835764728,0.003977947039473502,0.0029834592329878997
COHFACE,DoF,current_preprocess,160,1232.23125,1224.0,61.611562500000005,61.2,20.0,20.0,32.0,32.0,0.03060971270441909,0.0297860929004308,0.9827038586682996,0.9767073456527922,4.85626223275756e-18,0.0,0.6744907594765952,0.6744907594765952,1.0,1.0,0.00013363835150333124,0.0,9.77124839150474,3.175576281150232,0.3626733336648578,0.34955941919848826,0.3626733336648578,0.34955941919848826,-0.35812499999999997,-0.675,0.2375,1.0,0.1864824952054392,0.18342260818264816,0.1864824952054392,0.18342260818264816,-0.281875,-0.675,0.2,1.0,0.24375,0.2,0.21583333333333332,0.2,0.027916666666666663,0.0,1.6000307851137652,1.467404785315019,2.504330945131535,2.0426400037817727,0.39802317901648937,0.3093868863649293,0.03657986124741576,0.0272765376398012,0.31648010576449925,0.29846262364500287,0.5447268685967057,0.5629299430484136,3038.6130133314464,2899.3287035802928,0.44264774436256343,0.43351536990259776,3.6155785735974284,3.4634950168508594,1.0,1.0,0.0024618136061783586,0.0020625991191270503,58.37367697717965,48.02200895763117,33.80615483182042,33.0581835764728,0.003977947039473502,0.0029834592329878997
COHFACE,DoF,detrend_only,160,1232.23125,1224.0,61.611562500000005,61.2,20.0,20.0,32.0,32.0,-9.123342309211461e-14,-1.1991277113340725e-14,1604.1544096368552,1615.102348766552,-393.26549858087094,-408.5015816878307,832.7853734154056,812.9204941561005,1234.6875946256803,1205.2359246358346,0.0,0.0,11539.951732292595,3126.894768546076,0.12880035803036333,0.11070266826135164,0.12880035803036333,0.11070266826135164,-0.43656249999999996,-0.7,0.325,1.0,0.02469614876237189,0.0226943493667257,0.02469614876237189,0.0226943493667257,-0.48500000000000004,-0.75,0.1375,1.0,0.24749999999999997,0.2,0.21583333333333332,0.2,0.03166666666666666,0.0,679512.4158020888,399614.17137700034,2.4782401072228084,2.0089966745075687,0.3905839707252823,0.312229966574276,0.005081966072672842,0.0026863965830613,0.040663428063473506,0.0306657290993887,0.9401681893801175,0.9558292923082938,2554.3116808404593,2326.8873149353285,0.9977388061053553,0.9992246416703838,3.6155785735974284,3.4634950168508594,1.0,1.0,0.0024618136061783586,0.0020625991191270503,58.37367697717965,48.02200895763117,33.80615483182042,33.0581835764728,0.003977947039473502,0.0029834592329878997
COHFACE,DoF,helper_preprocess,160,1232.23125,1224.0,61.611562500000005,61.2,20.0,20.0,32.0,32.0,1.3838581630567012e-18,1.4549782423307391e-18,1.0,1.0,-0.0020488847892233624,-0.0022256328372422998,0.6622775643060004,0.6646565827079112,0.9818927168400762,0.9854198495227492,0.0,0.0,9.587360293573449,2.9122153525619185,0.5004448382687686,0.5280864671129529,0.5004448382687685,0.5280864671129529,-0.4065625,-0.7,0.15,1.0,0.44980060888864104,0.4521354433568554,0.44980060888864104,0.4521354433568554,-0.2328125,-0.75,0.0875,1.0,0.22999999999999998,0.2,0.21583333333333332,0.2,0.01416666666666666,0.0,4.13010706720021,4.107431673783224,2.606384762022111,2.173306847305504,0.3735322178722341,0.28649767778347784,0.036157538965085265,0.0282566078262744,0.77867254055683,0.7881366100354844,0.03514999056936709,0.030033277405396,3038.7310968729134,2899.4617529035154,0.2665884069605882,0.253972726590737,3.6155785735974284,3.4634950168508594,1.0,1.0,0.0024618136061783586,0.0020625991191270503,58.37367697717965,48.02200895763117,33.80615483182042,33.0581835764728,0.003977947039473502,0.0029834592329878997
COHFACE,DoF,raw,160,1232.23125,1224.0,61.611562500000005,61.2,20.0,20.0,32.0,32.0,2551.828804624156,2325.5123061596887,1608.2662960170087,1616.9614054635515,2157.24375,1822.0,837.98125,816.25,1242.39100125,1210.17225,0.0,0.0,11710.128401106715,3131.0716719504826,0.13379068680120693,0.11689606910993536,0.13379068680120693,0.11689606910993536,-0.48218750000000005,-0.7,0.225,1.0,0.024696148762371896,0.0226943493667257,0.024696148762371896,0.0226943493667257,-0.48500000000000004,-0.75,0.1375,1.0,0.24749999999999997,0.2,0.21583333333333332,0.2,0.03166666666666666,0.0,678766.6404563338,399735.0362249339,2.4761799248603973,2.00937223084982,0.39087106943416106,0.31220966117097937,0.005114886248667185,0.00267106761284155,0.040656546766116845,0.0306574379868543,0.940110473174208,0.9556980471314271,0.0,0.0,1.0,1.0,3.6155785735974284,3.4634950168508594,1.0,1.0,0.0024618136061783586,0.0020625991191270503,58.37367697717965,48.02200895763117,33.80615483182042,33.0581835764728,0.003977947039473502,0.0029834592329878997
COHFACE,DoF,robust_zscore_only,160,1232.23125,1224.0,61.611562500000005,61.2,20.0,20.0,32.0,32.0,0.355677249427215,0.3656760814106126,1.335445722917343,1.3230922338154545,0.0,0.0,0.6744907594765952,0.6744907594765952,1.0,1.0,0.004620336279656094,0.0,9.771248391504745,3.1755762811502315,0.1358071204530266,0.1169255258747996,0.1358071204530266,0.1169255258747996,-0.5175000000000001,-0.7,0.2125,1.0,0.024866379608683677,0.0226371293061906,0.024866379608683674,0.0226371293061906,-0.514375,-0.75,0.125,1.0,0.24666666666666667,0.2,0.21583333333333332,0.2,0.030833333333333324,0.0,0.36446185346128124,0.32697476603591924,2.4869014464214048,2.0713649049525062,0.398505988345417,0.31558608528618065,0.005190352603209082,0.00274522524307435,0.04127951009121196,0.0306898570231648,0.9392582461312596,0.9544322288727944,3037.8373805873316,2898.287847139355,0.992956099421497,0.9999999999999998,3.6155785735974284,3.4634950168508594,1.0,1.0,0.0024618136061783586,0.0020625991191270503,58.37367697717965,48.02200895763117,33.80615483182042,33.0581835764728,0.003977947039473502,0.0029834592329878997
COHFACE,DoF,sign_align_only,160,1232.23125,1224.0,61.611562500000005,61.2,20.0,20.0,32.0,32.0,2551.828804624156,2325.5123061596887,1608.2662960170087,1616.9614054635515,2157.24375,1822.0,837.98125,816.25,1242.39100125,1210.17225,0.0,0.0,11710.128401106715,3131.0716719504826,0.13379068680120693,0.11689606910993536,0.13379068680120693,0.11689606910993536,-0.48218750000000005,-0.7,0.225,1.0,0.024696148762371896,0.0226943493667257,0.024696148762371896,0.0226943493667257,-0.48500000000000004,-0.75,0.1375,1.0,0.24749999999999997,0.2,0.21583333333333332,0.2,0.03166666666666666,0.0,678766.6404563338,399735.0362249339,2.4761799248603973,2.00937223084982,0.39087106943416106,0.31220966117097937,0.005114886248667185,0.00267106761284155,0.040656546766116845,0.0306574379868543,0.940110473174208,0.9556980471314271,0.0,0.0,1.0,1.0,3.6155785735974284,3.4634950168508594,1.0,1.0,0.0024618136061783586,0.0020625991191270503,58.37367697717965,48.02200895763117,33.80615483182042,33.0581835764728,0.003977947039473502,0.0029834592329878997
COHFACE,DoF_bridge,bandpass_only,160,1232.23125,1224.0,61.611562500000005,61.2,20.0,20.0,32.0,32.0,-0.0001584836575038894,-0.00011656064710549272,0.035186074351151564,0.03021902725889214,-0.0006133023584979904,-0.0002293011450847774,0.025732744626585858,0.022296665337723023,0.038151367183376195,0.03305703602970815,0.0,0.0,0.3898468056925723,0.07938551577537016,0.5437540722424519,0.5995159438722372,0.5437540722424519,0.5995159438722372,-0.32687499999999997,-0.875,0.0,0.0,0.4863060177669333,0.5056449169872184,0.4863060177669333,0.5056449169872184,-0.215625,0.2,-0.075,-1.0,0.2695833333333333,0.26666666666666666,0.21583333333333332,0.2,0.05375,0.0,0.009197226885552528,0.0047658850861849855,3.2324406171484177,2.794906796700018,0.2327964382962854,0.15205357018387144,0.023238007313803172,0.014804725243882755,0.8232085800505278,0.8402613699004073,0.023790043940167434,0.01942575560480896,0.04658854895107326,0.04006683391352299,0.645704277799215,0.6446476652807069,3.6155785735974284,3.4634950168508594,1.0,1.0,0.002461813606178414,0.002062599119127105,58.37367697717965,48.02200895763117,33.80615483182042,33.0581835764728,0.003977947039473554,0.0029834592329879596
COHFACE,DoF_bridge,current_preprocess,160,1232.23125,1224.0,61.611562500000005,61.2,20.0,20.0,32.0,32.0,0.0016688779784703235,-0.0035878915232476823,0.9707897625426062,0.9593836182550788,1.9507168775266538e-19,0.0,0.6744907594765952,0.6744907594765952,1.0,1.0,0.0001078869796471951,0.0,9.771248391504745,3.175576281150232,0.46778719056362633,0.4940633772270263,0.46778719056362633,0.4940633772270263,-0.33062500000000006,-0.775,-0.025,-1.0,0.29210322385691045,0.2748880735293893,0.29210322385691045,0.27488807352938927,-0.145625,0.1,-0.05,-1.0,0.28125,0.26666666666666666,0.21583333333333332,0.2,0.06541666666666666,0.0,3.3585968537114326,3.279828419897741,3.3204251407190073,2.639684487575871,0.25752292280572425,0.19404004656240817,0.031884248551896546,0.021560125928457997,0.6058387940153317,0.6242893775536436,0.22413396886973205,0.20431291234900398,0.9242915889935919,0.9045656717876247,0.7945958409080114,0.7974431547553005,3.6155785735974284,3.4634950168508594,1.0,1.0,0.002461813606178414,0.002062599119127105,58.37367697717965,48.02200895763117,33.80615483182042,33.0581835764728,0.003977947039473554,0.0029834592329879596
COHFACE,DoF_bridge,detrend_only,160,1232.23125,1224.0,61.611562500000005,61.2,20.0,20.0,32.0,32.0,-1.3761535906159076e-21,2.985424810820589e-19,0.062408288974886074,0.055579969363676957,0.0007014309594732029,0.0007236040078679132,0.04185306619839814,0.0364775602711636,0.06205135594574507,0.05408163085802714,0.0,0.0,0.6722546282270718,0.1514014983619822,0.33331395483583515,0.33481807683088394,0.3333139548358351,0.33481807683088394,-0.24625000000000002,-0.4,-0.05,-1.0,0.09030743246758006,0.08171227135801803,0.09030743246758006,0.08171227135801802,-0.10968749999999998,-0.025,-0.1125,-1.0,0.28375,0.26666666666666666,0.21583333333333332,0.2,0.06791666666666667,0.0,0.010378767817710001,0.006222060858462768,3.3200952169574487,2.6064712930187066,0.25872142340561105,0.1814472181875272,0.015940365864742023,0.010100706766923423,0.31670823785582913,0.3080635819924422,0.5957361809143608,0.6042564732661909,5.865317390665732e-11,4.804751387855574e-11,1.0,1.0,3.6155785735974284,3.4634950168508594,1.0,1.0,0.002461813606178414,0.002062599119127105,58.37367697717965,48.02200895763117,33.80615483182042,33.0581835764728,0.003977947039473554,0.0029834592329879596
