dataset,family,stage,trial_count,n_samples_mean,n_samples_median,duration_sec_mean,duration_sec_median,fs_obs_mean,fs_obs_median,fs_gt_mean,fs_gt_median,stage_mean_mean,stage_mean_median,stage_std_mean,stage_std_median,stage_median_mean,stage_median_median,stage_mad_mean,stage_mad_median,stage_sigma_hat_mean,stage_sigma_hat_median,stage_clipped_frac_mean,stage_clipped_frac_median,scale_ratio_to_gt_mean,scale_ratio_to_gt_median,corr_wave_best_mean,corr_wave_best_median,ccc_wave_best_z_mean,ccc_wave_best_z_median,lag_wave_sec_mean,lag_wave_sec_median,sign_wave_best_mean,sign_wave_best_median,corr_deriv_best_mean,corr_deriv_best_median,ccc_deriv_best_z_mean,ccc_deriv_best_z_median,lag_deriv_sec_mean,lag_deriv_sec_median,sign_deriv_best_mean,sign_deriv_best_median,peak_hz_mean,peak_hz_median,gt_peak_hz_mean,gt_peak_hz_median,peak_error_hz_mean,peak_error_hz_median,peak_power_mean,peak_power_median,peak_sharpness_mean,peak_sharpness_median,harmonic_ratio_mean,harmonic_ratio_median,lowfreq_energy_ratio_mean,lowfreq_energy_ratio_median,band_energy_ratio_mean,band_energy_ratio_median,highfreq_energy_ratio_mean,highfreq_energy_ratio_median,vs_saved_base_rmse_mean,vs_saved_base_rmse_median,vs_saved_base_corr_mean,vs_saved_base_corr_median,roi_snr_db_mean_mean,roi_snr_db_mean_median,valid_ratio_mean_mean,valid_ratio_mean_median,center_disp_mean_mean,center_disp_mean_median,roi_mean_mean_mean,roi_mean_mean_median,roi_std_mean_mean,roi_std_mean_median,center_disp_std_mean,center_disp_std_median
COHFACE,DoF,helper_preprocess,160,1232.23125,1224.0,61.611562500000005,61.2,20.0,20.0,32.0,32.0,1.3838581630567008e-18,1.4549782423307391e-18,1.0,1.0,-0.0020488847892233624,-0.0022256328372423475,0.6622775643060004,0.6646565827079112,0.9818927168400762,0.9854198495227491,0.0,0.0,9.587360293573449,2.9122153525619185,0.5004448382687686,0.5280864671129529,0.5004448382687686,0.5280864671129529,-0.4065625,-0.7,0.15,1.0,0.44980060888864104,0.4521354433568554,0.44980060888864104,0.4521354433568554,-0.2328125,-0.75,0.0875,1.0,0.22999999999999998,0.2,0.21583333333333332,0.2,0.014166666666666666,0.0,4.13010706720021,4.107431673783224,2.606384762022111,2.173306847305504,0.3735322178722341,0.2864976777834779,0.03615753896508532,0.028256607826274465,0.77867254055683,0.7881366100354844,0.03514999056936714,0.030033277405396047,3038.731096872913,2899.4617529035154,0.2665884069605882,0.253972726590737,3.6155785735974284,3.4634950168508594,1.0,1.0,0.002461813606178414,0.002062599119127105,58.37367697717965,48.02200895763117,33.80615483182042,33.0581835764728,0.003977947039473554,0.0029834592329879596
COHFACE,DoF,raw,160,1232.23125,1224.0,61.611562500000005,61.2,20.0,20.0,32.0,32.0,2551.8288046241555,2325.5123061596887,1608.2662960170087,1616.9614054635515,2157.24375,1822.0,837.98125,816.25,1242.39100125,1210.17225,0.0,0.0,11710.128401106713,3131.0716719504826,0.133790686801207,0.11689606910993537,0.133790686801207,0.11689606910993537,-0.48218750000000005,-0.7,0.225,1.0,0.024696148762371944,0.02269434936672573,0.024696148762371938,0.02269434936672573,-0.48500000000000004,-0.75,0.1375,1.0,0.24749999999999997,0.2,0.21583333333333332,0.2,0.03166666666666666,0.0,678766.6404563338,399735.03622493387,2.4761799248603973,2.00937223084982,0.39087106943416106,0.3122096611709795,0.00511488624866723,0.002671067612841591,0.040656546766116894,0.030657437986854386,0.940110473174208,0.9556980471314271,0.0,0.0,1.0,1.0,3.6155785735974284,3.4634950168508594,1.0,1.0,0.002461813606178414,0.002062599119127105,58.37367697717965,48.02200895763117,33.80615483182042,33.0581835764728,0.003977947039473554,0.0029834592329879596
COHFACE,DoF,robust_zscore_only,160,1232.23125,1224.0,61.611562500000005,61.2,20.0,20.0,32.0,32.0,0.34890417916519534,0.3656277448543038,1.3148401219203099,1.3176920958008693,0.0,0.0,0.6744907594765952,0.6744907594765952,1.0,1.0,0.00984050414177264,0.001631325711609291,9.771248391504745,3.1755762811502315,0.13693834730666482,0.11916411917343533,0.13693834730666482,0.11916411917343533,-0.4543749999999999,-0.7,0.225,1.0,0.02497952799031799,0.02266925409469512,0.02497952799031799,0.02266925409469512,-0.548125,-0.75,0.1375,1.0,0.24625,0.2,0.21583333333333332,0.2,0.030416666666666665,0.0,0.35985718988507037,0.32404139831771317,2.4918288823550787,2.073409519759068,0.3953605066132664,0.31498962890050664,0.005248290916155327,0.002929817899663275,0.0417568315142709,0.03093725634220436,0.9385669375124642,0.9538570297346616,3037.8591507981223,2898.331912820126,0.9897597597993126,0.9999718286456916,3.6155785735974284,3.4634950168508594,1.0,1.0,0.002461813606178414,0.002062599119127105,58.37367697717965,48.02200895763117,33.80615483182042,33.0581835764728,0.003977947039473554,0.0029834592329879596
COHFACE,DoF,sign_align_only,160,1232.23125,1224.0,61.611562500000005,61.2,20.0,20.0,32.0,32.0,-170.55101852551985,-1084.8460179355848,1608.2662960170087,1616.9614054635515,-116.2875,-788.0,837.98125,816.25,1242.39100125,1210.17225,0.0,0.0,11710.128401106713,3131.0716719504826,0.133790686801207,0.11689606910993537,0.133790686801207,0.11689606910993537,-0.48218750000000005,-0.7,0.0875,1.0,0.024696148762371944,0.02269434936672573,0.024696148762371938,0.02269434936672573,-0.48500000000000004,-0.75,0.0,0.0,0.24749999999999997,0.2,0.21583333333333332,0.2,0.03166666666666666,0.0,678766.6404563338,399735.03622493387,2.4761799248603973,2.00937223084982,0.39087106943416106,0.3122096611709795,0.00511488624866723,0.002671067612841591,0.040656546766116894,0.030657437986854386,0.940110473174208,0.9556980471314271,3271.828735845909,2920.4610262405904,-0.08749999999999998,-0.9999999999999998,3.6155785735974284,3.4634950168508594,1.0,1.0,0.002461813606178414,0.002062599119127105,58.37367697717965,48.02200895763117,33.80615483182042,33.0581835764728,0.003977947039473554,0.0029834592329879596
COHFACE,OF,bandpass_only,160,1232.23125,1224.0,61.611562500000005,61.2,20.0,20.0,32.0,32.0,0.00012997461363222553,8.17087241982984e-06,0.014756099831403042,0.0069193269361916354,0.0015569137408859162,0.00048720645901801594,0.009289875469181287,0.0033098259357019306,0.013773169370608174,0.004907147932271682,0.0,0.0,0.06610083293863753,0.013149584747298135,0.6384974187229029,0.6871029341699908,0.6384974187229029,0.6871029341699908,-0.020312499999999983,0.45,0.0375,1.0,0.6040755451980686,0.6547594929712889,0.6040755451980686,0.6547594929712889,0.05,0.4,0.14465408805031446,1.0,0.22916666666666666,0.2,0.21583333333333332,0.2,0.013333333333333332,0.0,0.0039195392168274576,0.00016600623132124952,3.9301840887748063,3.3532285467999254,0.28604664837360444,0.21625184035327563,0.03417788415332622,0.013974652391527474,0.8243539468147949,0.8496586167751689,0.018847857858322926,0.015795685854503402,0.0210641541450517,0.013905355736118268,0.47645258115903655,0.45450454483771674,3.6155785735974284,3.4634950168508594,1.0,1.0,0.002461813606178414,0.002062599119127105,58.37367697717965,48.02200895763117,33.80615483182042,33.0581835764728,0.003977947039473554,0.0029834592329879596
COHFACE,OF,current_preprocess,160,1232.23125,1224.0,61.611562500000005,61.2,20.0,20.0,32.0,32.0,0.006686313415119672,-0.01434283349586731,1.2720084007338746,1.1882025930541373,-1.2003515653777504e-19,0.0,0.6525011049929544,0.6744907594765952,0.9673981382625543,1.0,0.02051745319004556,0.0,9.718500937600872,3.1255378124916873,0.6560610182249254,0.6857191071471056,0.6560610182249254,0.6857191071471056,0.0015624999999999916,0.55,0.0125,1.0,0.6076433517474891,0.6521557954024408,0.6076433517474891,0.6521557954024408,0.04375000000000001,0.4,-0.1375,-1.0,0.22374999999999998,0.2,0.21583333333333332,0.2,0.007916666666666667,0.0,8.014772154503678,6.880517614998189,4.046710510638324,3.3634474842344138,0.3042690974559957,0.21802469127701968,0.026190199722021846,0.013616753356704297,0.8289630832853812,0.850303128624522,0.021673792449334192,0.017339912872885128,1.2794710758284753,1.198690370331216,0.05600934159000472,0.22135080979145905,3.6155785735974284,3.4634950168508594,1.0,1.0,0.002461813606178414,0.002062599119127105,58.37367697717965,48.02200895763117,33.80615483182042,33.0581835764728,0.003977947039473554,0.0029834592329879596
COHFACE,OF,detrend_only,160,1232.23125,1224.0,61.611562500000005,61.2,20.0,20.0,32.0,32.0,2.1050466308298104e-19,8.446744634353641e-21,0.027319130377245888,0.01624053521394797,0.0005174461751935456,1.0836181754179435e-05,0.004434930674895638,0.0008766034460453395,0.0065752282186002705,0.0012996522691068203,0.0,0.0,0.03255871351135452,0.0029195896659164706,0.3150788522046891,0.3166834803640999,0.3150788522046891,0.3166834803640999,0.032499999999999994,0.42500000000000004,0.05,1.0,0.06216753261830586,0.046063418427983394,0.06216753261830586,0.046063418427983394,-0.030624999999999993,0.15,0.175,1.0,0.2370833333333333,0.2,0.21583333333333332,0.2,0.02125,0.0,0.004292649891239552,0.00017930266008126845,3.4384040107790184,2.7591878422830147,0.36279303654687645,0.3128771709375372,0.009395884399653557,0.0037875111784712538,0.21240063967863465,0.15089969459091193,0.7383234908178574,0.7801392924411789,0.0012766844707233684,0.0005091807913640246,0.9991270972726657,0.9997192641162266,3.6155785735974284,3.4634950168508594,1.0,1.0,0.002461813606178414,0.002062599119127105,58.37367697717965,48.02200895763117,33.80615483182042,33.0581835764728,0.003977947039473554,0.0029834592329879596
COHFACE,OF,helper_preprocess,160,1232.23125,1224.0,61.611562500000005,61.2,20.0,20.0,32.0,32.0,3.308805745094027e-19,0.0,1.0,1.0,0.06206491447265583,0.0523546047592756,0.5117819985993037,0.5391883454984837,0.7587679911233277,0.7994006410360519,0.0,0.0,6.868295887676964,1.871010284177957,0.6359457165414013,0.6850109843978845,0.6359457165414013,0.6850109843978845,-0.0721875,0.45,0.025,1.0,0.6071802703696172,0.6567025943275158,0.6071802703696172,0.6567025943275158,0.02124999999999999,0.35,0.075,1.0,0.23041666666666663,0.2,0.21583333333333332,0.2,0.014583333333333332,0.0,4.807731548889249,5.018519941392955,3.7950731115346024,3.156182756440541,0.3111141524860003,0.24416162744765904,0.032879614302350445,0.014875229505629115,0.8290723468805968,0.8541553874254474,0.012390922026663998,0.010847221377223586,0.9844222944669514,0.9933671462523297,0.4641624624587323,0.44542395990798295,3.6155785735974284,3.4634950168508594,1.0,1.0,0.002461813606178414,0.002062599119127105,58.37367697717965,48.02200895763117,33.80615483182042,33.0581835764728,0.003977947039473554,0.0029834592329879596
COHFACE,OF,raw,160,1232.23125,1224.0,61.611562500000005,61.2,20.0,20.0,32.0,32.0,-0.00019209174135873802,1.0675353918141864e-07,0.027342579890903846,0.016242719080782425,0.0001262931167653203,6.052793682931323e-11,0.004228483690230571,0.0003299461538260884,0.006269149919135844,0.0004891781676625586,0.0,0.0,0.028471261758638833,0.0019236437648699574,0.3157257904147788,0.32021381385001785,0.3157257904147787,0.32021381385001785,-0.08593750000000003,0.35,0.025,1.0,0.06216753261830586,0.046063418427983394,0.06216753261830586,0.046063418427983394,-0.030624999999999993,0.15,0.175,1.0,0.23499999999999996,0.2,0.21583333333333332,0.2,0.01916666666666667,0.0,0.004292631618283979,0.00017940505722660984,3.4380081088969563,2.7590887379328324,0.372004296350367,0.316861245671311,0.009407551160865037,0.003782881334524346,0.21239241359216146,0.15089395014314597,0.7383069408532242,0.7801722597885044,0.0,0.0,1.0,1.0,3.6155785735974284,3.4634950168508594,1.0,1.0,0.002461813606178414,0.002062599119127105,58.37367697717965,48.02200895763117,33.80615483182042,33.0581835764728,0.003977947039473554,0.0029834592329879596
COHFACE,OF,robust_zscore_only,160,1232.23125,1224.0,61.611562500000005,61.2,20.0,20.0,32.0,32.0,0.046543434549302556,0.03995711508490343,2.4646371967574594,2.611456414437276,0.0,0.0,0.4613740775669826,0.6744907594765952,0.6840332074008085,1.0,0.21309337825481273,0.2037396572807979,8.426736270121603,1.5836838184980457,0.4504494423115558,0.4824145908291169,0.4504494423115558,0.4824145908291169,-0.11625,-0.2,0.0,0.0,0.08360081553508374,0.06995722193098627,0.08360081553508374,0.06995722193098627,-0.1834375,0.0,0.025,1.0,0.22416666666666668,0.2,0.21583333333333332,0.2,0.008333333333333335,0.0,15.669394864269368,15.991407064123091,4.7131115841483995,3.7890048169839097,0.29963291579209617,0.25073833486338204,0.011726462260529025,0.0034451859770175423,0.3169289308576347,0.306118143664614,0.6168318997714823,0.5795815593380951,2.4460458968623486,2.5867078552613325,0.6171911167542428,0.6137185979837962,3.6155785735974284,3.4634950168508594,1.0,1.0,0.002461813606178414,0.002062599119127105,58.37367697717965,48.02200895763117,33.80615483182042,33.0581835764728,0.003977947039473554,0.0029834592329879596
