video,mae_external_output_rate_t,mae_external_rate_posterior_mean_t,mae_external_rate_posterior_mode_t,mae_final_track_hz,mae_native_causal_track_hz,mae_native_smoothed_track_hz,mae_state_freq_t,track_median_external_output_rate_t,track_median_external_rate_posterior_mean_t,track_median_external_rate_posterior_mode_t,track_median_final_track_hz,track_median_native_causal_track_hz,track_median_native_smoothed_track_hz,track_median_state_freq_t,oracle_best_source,oracle_best_mae,final_mae,oracle_room_bpm,data_file,method,enabled,readout_abstained,readout_inactive_reason,paper_candidate_hard_abstention,source,calibration,abstention_guard,coverage,alpha_mean,alpha_median,alpha_active_fraction,ambiguous_alias_fraction,unresolved_p1d_alias_fraction,p1d_half_rescue_fraction,weak_direct_macro_fraction,alias_risk_mean,h1_role_support_mean,morphology_alias_pressure_mean,abstain_pressure_mean,large_downshift_fraction,well_supported_downshift_fraction,guarded_downshift_fraction,high_base_conflict_fraction,posterior_confidence_mean,posterior_entropy_median,posterior_top_gap_median,posterior_macro_support_median,posterior_direct_macro_support_median,posterior_motion_direct_support_median,posterior_alias_risk_median,posterior_independent_timing_support_median,posterior_bridge_timing_preservation_median,posterior_morphology_alias_pressure_median,posterior_h1_role_support_median,posterior_abstain_pressure_median,posterior_signal_sqi_observability_enabled,posterior_signal_sqi_support_median,posterior_phase_coherence_support_median,source_validity_confidence_mean,source_validity_entropy_median,source_validity_top_gap_median,source_validity_mode_hz_median,source_validity_selected_group_counts,source_validity_guard_alpha_mean,source_validity_guard_alpha_median,source_validity_guard_active_fraction,source_validity_global_specificity,specificity_boost_enabled,specific_posterior_correction_fraction,readout_group_rate_mode_counts,posterior_group_rate_mode_counts,readout_derived_consistency_counts,posterior_derived_consistency_counts,source_spread_hz,source_spread_bpm,readout_confidence_score,posterior_specificity_score,support_score,h1_role_score,alias_safety_score,source_agreement_score,abstain_pressure_score,target_observability_score,failure_mode
mahnob_10,2.58,2.03,3.67,2.47,2.42,2.68,2.74,0.2788685919384144,0.256372151062363,0.2858533929086007,0.2684574847496918,0.2702596845953234,0.2712550712056065,0.2756198672511057,external_rate_posterior_mean_t,2.03,2.47,0.4400000000000004,mahnob_10.pkl,parh_ossm,True,False,,False,candidate_rate_posterior_final,bounded_correction_to_existing_readout,target_computable_downshift_specificity,1.0,0.2240423807518205,0.2299547281701999,1.0,0.0,0.0,0.0,0.0,1.999611487953834e-12,0.8106807067843455,1.999611487953834e-12,0.078585163304882,0.0,0.0,0.0,0.0,0.2432637318151963,0.9052410016090836,0.2834606306202139,1.0,1.0,0.6350397240106795,4.2419827851700603e-13,0.9874293006560972,0.0287909934589451,4.2419827851700603e-13,0.8259946689659254,0.0522015993107386,True,0.5243255797935409,0.5561891471101617,,,,,"{""G_DoF"": 3, ""G_DoF_bridge"": 5, ""G_OF"": 4}",,,,,False,0.6335455965397092,"{""harmonic_anchor"": 60, ""motion_timing_track_preserved"": 24}","{""harmonic_anchor"": 60, ""motion_timing_track_preserved"": 24}",{},{},0.022496440876051405,1.3497864525630843,0.2240423807518205,0.6734117447539557,1.0,0.8259946689659254,0.9999999999995758,0.6642968290144005,0.0522015993107386,0.6758016674539377,bounded_or_no_clear_room
mahnob_1042,3.36,3.5,3.09,3.28,3.02,3.03,2.94,0.2422715206581085,0.221929862079806,0.2449533671369867,0.2407649948236362,0.2302900463311964,0.2384552722449935,0.2339693860156875,state_freq_t,2.94,3.28,0.33999999999999986,mahnob_1042.pkl,parh_ossm,True,False,,False,candidate_rate_posterior_final,bounded_correction_to_existing_readout,target_computable_downshift_specificity,1.0,0.1666280917170052,0.1652507879499486,1.0,0.0,0.0,0.3503727369542066,0.0719610527917237,0.1561959449272933,0.6823083008935024,0.1561959449272933,0.2246897938804877,0.1647649475125513,0.0,0.1647649475125513,0.0,0.1215860548335696,0.978688273918314,0.1463384566310123,0.6666666666666666,0.6666666666666666,0.5628795049023618,0.0784168819599517,0.8518373407665627,0.2565637752448351,0.0784168819599517,0.6714643104830104,0.2563918774654162,True,0.3777818787084761,0.5857837677113463,,,,,"{""G_DoF"": 6, ""G_DoF_bridge"": 1, ""G_OF"": 2}",,,,,False,0.0,"{""harmonic_anchor"": 45, ""motion_timing_track_preserved"": 18}","{""harmonic_anchor"": 45, ""motion_timing_track_preserved"": 18}",{},{},0.0203416585783025,1.22049951469815,0.1666280917170052,0.2080596927836837,0.6666666666666666,0.6714643104830104,0.9215831180400483,0.6908390968786535,0.2563918774654162,0.46567079770577063,bounded_or_no_clear_room
mahnob_1044,2.25,1.78,3.38,1.92,1.58,1.63,1.42,0.2300075633026115,0.2173751934791886,0.2470623164326032,0.218272393350488,0.1961258468262922,0.2101646759807836,0.194538114035958,state_freq_t,1.42,1.92,0.5,mahnob_1044.pkl,parh_ossm,True,False,,False,candidate_rate_posterior_final,bounded_correction_to_existing_readout,target_computable_downshift_specificity,1.0,0.2374219726853781,0.184913824718634,1.0,0.0,0.0,0.3610179522588281,0.0,0.1969183484225506,0.720390909361873,0.1969183484225506,0.2452242486799215,0.1203393174196093,0.0,0.1203393174196093,0.0,0.1714263672334844,0.963254190379799,0.3711962722242109,0.6666666666666666,0.6666666666666666,0.6881762621083353,0.2344966521091904,0.9485643922964048,0.2382036974782315,0.2344966521091904,0.7038478745011226,0.2942291733151415,True,0.4460236449677203,0.7774933371202163,,,,,"{""G_DoF"": 2, ""G_DoF_bridge"": 1, ""G_OF"": 3}",,,,,False,0.1203393174196093,"{""harmonic_anchor"": 35, ""motion_timing_track_preserved"": 14}","{""harmonic_anchor"": 35, ""motion_timing_track_preserved"": 14}",{},{},0.03546944926665349,2.1281669559992094,0.2374219726853781,0.6010310830668979,0.6666666666666666,0.7038478745011226,0.7655033478908095,0.5247154949943991,0.2942291733151415,0.5230130253114397,bounded_or_no_clear_room
mahnob_1046,3.63,3.96,3.51,3.69,3.9,3.81,3.54,0.2573620654688065,0.2570203294048573,0.2626220584853817,0.2454911685005497,0.2417136110541111,0.2430388155664823,0.2566793469223096,state_freq_t,3.54,3.69,0.1499999999999999,mahnob_1046.pkl,parh_ossm,True,False,,False,candidate_rate_posterior_final,bounded_correction_to_existing_readout,target_computable_downshift_specificity,1.0,0.1881028936008884,0.1905111664342424,1.0,0.0,0.0,0.0,0.0,1.3647015366018072e-08,0.8215964835762934,1.3647015366018072e-08,0.0931213890879849,0.0,0.0,0.0,0.0,0.1753314006644929,0.9189453917653936,0.2290489342972395,0.6666666666666666,0.6666666666666666,0.6250392490907966,7.158024353423114e-11,0.986136914131968,0.1931004798338471,7.158024353423114e-11,0.8292706140629484,0.0923478084989765,True,0.4204549128207232,0.5665363728268683,,,,,"{""G_DoF"": 7, ""G_OF"": 1}",,,,,False,0.3118609406952965,"{""harmonic_anchor"": 40, ""motion_timing_track_preserved"": 16}","{""harmonic_anchor"": 40, ""motion_timing_track_preserved"": 16}",{},{},0.014323249902324225,0.8593949941394535,0.1881028936008884,0.5060054576849136,0.6666666666666666,0.8292706140629484,0.9999999999284197,0.7707257115214325,0.0923478084989765,0.5904551973381555,likely_video_or_reference_limited
mahnob_1048,4.74,4.31,4.34,4.41,5.23,4.08,4.18,0.2203123242695227,0.2285710427834981,0.2519104307563271,0.2252090360696374,0.2067749360212036,0.2243610828620261,0.2184673571827148,native_smoothed_track_hz,4.08,4.41,0.33000000000000007,mahnob_1048.pkl,parh_ossm,True,False,,False,candidate_rate_posterior_final,bounded_correction_to_existing_readout,target_computable_downshift_specificity,1.0,0.2512069417164126,0.251485880698814,1.0,0.0,0.0,0.8581065364038148,0.0,0.1510171526336161,0.7542371399032991,0.1510171526336161,0.2067882919774991,0.0,0.0,0.0,0.0,0.1824494027084472,0.9305293715430942,0.2924393560117537,0.6666666666666666,0.6666666666666666,0.7405580893964179,0.1716745527151268,0.9573471423872286,0.2376087509795618,0.1716745527151268,0.7594473815595164,0.2165867895254648,True,0.4079654864462209,0.4822435149937401,,,,,"{""G_DoF"": 6}",,,,,False,0.1418934635961851,"{""harmonic_anchor"": 30, ""motion_timing_track_preserved"": 12}","{""harmonic_anchor"": 30, ""motion_timing_track_preserved"": 12}",{},{},0.010103685600783313,0.6062211360469988,0.2512069417164126,0.6359605089985952,0.6666666666666666,0.7594473815595164,0.8283254472848732,0.832182613754028,0.2165867895254648,0.5897193439783369,likely_video_or_reference_limited
mahnob_1050,3.22,3.01,3.39,3.32,3.42,3.48,3.11,0.2640184148624304,0.2593984259360904,0.2697721411160592,0.254638439349343,0.2484642909372548,0.2541613716754375,0.2633423031468163,external_rate_posterior_mean_t,3.01,3.32,0.31000000000000005,mahnob_1050.pkl,parh_ossm,True,False,,False,candidate_rate_posterior_final,bounded_correction_to_existing_readout,target_computable_downshift_specificity,1.0,0.2097255377591718,0.2061878027593261,1.0,0.0,0.0,0.0,0.0,3.237581483616573e-09,0.7819720788457133,3.237581483616573e-09,0.0814713024286467,0.0,0.0,0.0,0.0,0.2077234751220006,0.8707240463503986,0.1668037528325326,1.0,1.0,0.7579317880738468,2.044595789738139e-10,0.9768216278905448,0.0070488597248775,2.044595789738139e-10,0.7952587692223119,0.0659578609194047,True,0.3710699166076757,0.6709045681709854,,,,,"{""G_DoF_bridge"": 5, ""G_OF"": 5}",,,,,False,0.7423986486486487,"{""harmonic_anchor"": 50, ""motion_timing_track_preserved"": 20}","{""harmonic_anchor"": 50, ""motion_timing_track_preserved"": 20}",{},{},0.009857043186992875,0.5914225912195725,0.2097255377591718,0.3895309689634661,1.0,0.7952587692223119,0.9999999997955404,0.8359228398090058,0.0659578609194047,0.6266228914741241,bounded_or_no_clear_room
mahnob_1052,2.36,2.69,2.21,2.65,3.68,3.09,2.78,0.2023133659891499,0.2136886788275893,0.2315515884372577,0.2067009194714639,0.1794523586607645,0.2045081480967435,0.1924494774530157,external_output_rate_t,2.36,2.65,0.29000000000000004,mahnob_1052.pkl,parh_ossm,True,False,,False,candidate_rate_posterior_final,bounded_correction_to_existing_readout,target_computable_downshift_specificity,1.0,0.1606454197231431,0.1663944729038178,1.0,0.0815917070723959,0.0,0.0,0.0,0.0140299934354944,0.7640439720647723,0.0140299934354944,0.1372959154377123,0.0,0.0,0.0,0.0,0.1500980913296627,0.9189771706314608,0.0596887089404228,0.6666666666666666,0.6666666666666666,0.6677581957504533,0.0002563096957677,0.8592589798518975,0.0430691519326143,0.0002563096957677,0.7444458822233777,0.126750838986333,True,0.4161297895063448,0.6490436754111588,,,,,"{""G_DoF"": 7, ""G_DoF_bridge"": 1}",,,,,False,0.0,"{""harmonic_anchor"": 40, ""motion_timing_track_preserved"": 16}","{""harmonic_anchor"": 40, ""motion_timing_track_preserved"": 16}",{},{},0.021239201374573607,1.2743520824744166,0.1606454197231431,0.09104244763447174,0.6666666666666666,0.7444458822233777,0.9997436903042323,0.6796568111339351,0.126750838986333,0.47528887755158183,bounded_or_no_clear_room
mahnob_1054,3.86,2.75,4.52,2.67,4.25,3.91,4.26,0.1899834916070639,0.2605934809638572,0.220233297008914,0.2420917748678231,0.2893409140812981,0.2910394774496818,0.2713354074138777,final_track_hz,2.67,2.67,0.0,mahnob_1054.pkl,parh_ossm,True,False,,False,candidate_rate_posterior_final,bounded_correction_to_existing_readout,target_computable_downshift_specificity,1.0,0.1096662192862343,0.1634942649874374,1.0,0.4246368609696284,0.0,0.0,0.0,3.332503469529434e-11,0.7414243581286596,3.332503469529434e-11,0.1275726925797309,0.0794189775514054,0.0,0.0794189775514054,0.0,0.1171872968191343,0.978059462605283,0.1128312892992405,0.6666666666666666,0.6666666666666666,0.5462641056728568,1.880179545061976e-21,0.9615950021100972,0.0685148869041307,1.880179545061976e-21,0.7892664643908344,0.1132200606827496,True,0.4581220988789748,0.516554880893014,,,,,"{""G_DoF"": 4, ""G_OF"": 3}",,,,,False,0.0,"{""harmonic_anchor"": 35, ""motion_timing_track_preserved"": 14}","{""harmonic_anchor"": 35, ""motion_timing_track_preserved"": 14}",{},{},0.10105598584261788,6.063359150557073,0.1096662192862343,0.11566404233145522,0.6666666666666666,0.7892664643908344,1.0,0.1592338248045045,0.1132200606827496,0.4235407093586503,bounded_or_no_clear_room
mahnob_1056,3.53,2.86,3.7,3.11,3.0,3.06,3.07,0.2836823702359914,0.2636874908110941,0.2727081642969196,0.2696971617258365,0.2558893530562274,0.2632743913987592,0.2732285001674862,external_rate_posterior_mean_t,2.86,3.11,0.25,mahnob_1056.pkl,parh_ossm,True,False,,False,candidate_rate_posterior_final,bounded_correction_to_existing_readout,target_computable_downshift_specificity,1.0,0.1854361932505014,0.1940664252682383,1.0,0.0,0.0,0.0,0.0,6.23320491711472e-06,0.8053296002238496,6.23320491711472e-06,0.0979658594357688,0.0,0.0,0.0,0.0,0.1594927907080638,0.930724423923064,0.1833433129586016,0.6666666666666666,0.6666666666666666,0.5457747569994117,1.0776129891726769e-10,0.975700624879184,0.0235020505612555,1.0776129891726769e-10,0.8234069020704446,0.1010802038534617,True,0.4221551500718994,0.608336068821997,,,,,"{""G_DoF_bridge"": 2, ""G_OF"": 7, ""G_P1D_cons"": 1}",,,,,False,0.357456782888954,"{""harmonic_anchor"": 50, ""motion_timing_track_preserved"": 20}","{""harmonic_anchor"": 50, ""motion_timing_track_preserved"": 20}",{},{},0.02040797883723222,1.2244787302339333,0.1854361932505014,0.36536824485470315,0.6666666666666666,0.8234069020704446,0.9999999998922388,0.6900065693238512,0.1010802038534617,0.5518363691250073,bounded_or_no_clear_room
mahnob_1058,4.19,2.98,4.18,3.81,3.5,3.15,3.27,0.1916174197923023,0.224609235699787,0.1833020062423591,0.1949244339117734,0.1883627355444283,0.1994619566003094,0.1906843926158103,external_rate_posterior_mean_t,2.98,3.81,0.8300000000000001,mahnob_1058.pkl,parh_ossm,True,False,,False,candidate_rate_posterior_final,bounded_correction_to_existing_readout,target_computable_downshift_specificity,1.0,0.1531309286234775,0.1549946060671329,1.0,0.069223785746709,0.0,0.0,0.0,0.1009198335251869,0.6318547031315731,0.1009198335251869,0.2291077631740493,0.0,0.0,0.0,0.0,0.1196863336771773,0.9713256850916702,0.1516250669053325,0.6666666666666666,0.6666666666666666,0.5035483421408379,0.0805849904084756,0.7770299475115596,0.0032770013795513,0.0805849904084756,0.623961375058234,0.2542313432701016,True,0.4172934589166653,0.6387658848584628,,,,,"{""G_DoF"": 10, ""G_OF"": 3}",,,,,False,0.0,"{""harmonic_anchor"": 65, ""motion_timing_track_preserved"": 26}","{""harmonic_anchor"": 65, ""motion_timing_track_preserved"": 26}",{},{},0.0339248430839767,2.035490585038602,0.1531309286234775,0.22958051563342968,0.6666666666666666,0.623961375058234,0.9194150095915244,0.539660344602079,0.2542313432701016,0.44424819311321684,source_selection_room_agreement_available
