dataset,family,trial_count,corr_wave_best_mean,corr_wave_best_median,ccc_wave_best_z_mean,ccc_wave_best_z_median,corr_deriv_best_mean,corr_deriv_best_median,peak_error_hz_mean,peak_error_hz_median,lowfreq_energy_ratio_mean,lowfreq_energy_ratio_median,highfreq_energy_ratio_mean,highfreq_energy_ratio_median
MAHNOB,DoF,525,0.06507191727805015,0.0474018243132067,0.06507191727805015,0.0474018243132067,0.01982746172789474,0.0185247589940669,-0.02603179555568431,0.0,0.011164015503548957,0.0063288863569008,0.9372782579480602,0.9575160006248896
MAHNOB,OF,525,0.021255973456216486,0.017452386705273548,0.021255973456216486,0.017452386705273548,0.024799145899645925,0.0227957163498601,0.11987319250839575,0.1333336800009013,0.0022118332232055225,0.000614443218668,0.9758528922278497,0.9898555826328267
MAHNOB,OF_bridge,525,0.021255973456216486,0.017452386705273548,0.021255973456216486,0.017452386705273548,0.024799145899645925,0.0227957163498601,0.11987319250839575,0.1333336800009013,0.0022118332232055225,0.000614443218668,0.9758528922278497,0.9898555826328267
MAHNOB,P1D_cub,488,0.02396146363462533,0.009361605292143901,0.023961463634625327,0.009361605292143901,0.027308797660425543,0.023464742578869102,0.18497297666744428,0.200000520001352,0.005680285130987963,7.87415238291284e-05,0.9571904755663074,0.9973497703632432
MAHNOB,P1D_lin,488,0.025003716797593764,0.010968944319631649,0.025003716797593764,0.010968944319631649,0.02711036838362256,0.02348113490004565,0.17527351423572715,0.200000520001352,0.005715490942533408,0.00016801969458965,0.9566982091781853,0.9961954796729499
MAHNOB,P1D_quad,488,0.023985667268715604,0.0095099280248544,0.0239856672687156,0.0095099280248544,0.027318946669486307,0.0234707786121602,0.18524620532865843,0.200000520001352,0.005683367988538038,8.156419259193287e-05,0.9571437060570752,0.9972950853113081
MAHNOB-HCI,DoF_bridge,525,0.05898954173691766,0.05190048406222962,0.05898954173691765,0.051900484062229614,0.037630852080026964,0.036384289448875146,0.08317472665428931,0.06666684000045067,0.008273094375370932,0.0068851199951297844,0.8798464768330351,0.8812477950066097
MAHNOB-HCI,P1D_cons,488,0.10777868565278512,0.1021820957123305,0.1077786856527851,0.1021820957123305,0.087005076770644,0.0799496455175838,0.10956301202230119,0.13333333333333336,0.02850103973259686,0.021956450780153222,0.0490534358375527,0.0468100147728567
