dataset,family,stage,trial_count,corr_wave_best_delta_mean,corr_wave_best_delta_median,ccc_wave_best_z_delta_mean,ccc_wave_best_z_delta_median,corr_deriv_best_delta_mean,corr_deriv_best_delta_median,peak_error_hz_delta_mean,peak_error_hz_delta_median,lowfreq_energy_ratio_delta_mean,lowfreq_energy_ratio_delta_median,highfreq_energy_ratio_delta_mean,highfreq_energy_ratio_delta_median
COHFACE,DoF,bandpass_only,160,0.2993415277107881,0.3014963248601501,0.29934152771078804,0.3014963248601501,0.35776968982596563,0.35022229076623834,-0.025416666666666664,0.0,0.09640306086118355,0.08452510915005185,-0.8631607589770717,-0.8748764853725772
COHFACE,DoF,current_preprocess,160,0.22888264686365084,0.22984192561988456,0.22888264686365084,0.22984192561988456,0.16178634644306727,0.15639892451239717,-0.003749999999999999,0.0,0.03146497499874858,0.024431547644130698,-0.39538360457750227,-0.3908244081997077
COHFACE,DoF,detrend_only,160,-0.004990328770843643,-0.0011349302619892976,-0.004990328770843644,-0.0011349302619892976,-4.423544863740858e-18,0.0,0.0,0.0,-3.292017599434248e-05,-4.217386011250027e-06,5.771620590956581e-05,6.705765415448983e-06
COHFACE,DoF,helper_preprocess,160,0.3666541514675616,0.38407910729776734,0.3666541514675616,0.38407910729776734,0.4251044601262691,0.425377839910526,-0.017499999999999998,0.0,0.031042652716418085,0.024454406098668897,-0.9049604826048409,-0.9177431983786656
COHFACE,DoF,robust_zscore_only,160,0.002016433651819629,0.0,0.0020164336518196267,0.0,0.00017023084631178433,0.0,-0.0008333333333333324,0.0,7.546635454189687e-05,0.0,-0.0008522270429484141,0.0
COHFACE,DoF,sign_align_only,160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COHFACE,DoF_bridge,bandpass_only,160,0.21044011740116259,0.2159920433374915,0.21044011740116259,0.2159920433374915,0.3959985852993532,0.41212904068943046,-0.014166666666666666,0.0,0.0072976414493522625,0.005084354223173276,-0.571946136974584,-0.585219105380397
COHFACE,DoF_bridge,current_preprocess,160,0.13447323572233708,0.13533968163743293,0.13447323572233705,0.13533968163743293,0.20179579138933038,0.19629334025298745,-0.0025000000000000005,0.0,0.01594388268744563,0.01130577266640636,-0.3716022120450193,-0.3875682692965984
COHFACE,DoF_bridge,detrend_only,160,-5.454202280791298e-12,1.046315811770171e-12,-5.454204015514774e-12,1.046315811770171e-12,1.1492543028346347e-18,0.0,0.0,0.0,2.911095816444595e-13,6.160003063193642e-15,-3.906356141336609e-13,5.156985949383852e-14
COHFACE,DoF_bridge,helper_preprocess,160,0.2051858865814662,0.21177366671746392,0.2051858865814662,0.21177366671746392,0.399189222682198,0.42432426273855306,-0.010833333333333335,0.0,0.0073134394189926285,0.0046513821528160505,-0.5814771331245472,-0.5904664263966529
COHFACE,DoF_bridge,robust_zscore_only,160,0.0005957270483847731,0.0,0.0005957270483847718,0.0,-0.0006995462819474222,0.0,0.0,0.0,-6.597813127128078e-05,0.0,-1.6029708691015464e-05,0.0
COHFACE,DoF_bridge,sign_align_only,160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COHFACE,OF,bandpass_only,160,0.32277162830812417,0.32147147070024873,0.32277162830812417,0.3214714707002487,0.541626401767162,0.5934040691115386,-0.005833333333333333,0.0,0.02462708888321224,0.0082516235620295,-0.7127929855196334,-0.7609655502859288
COHFACE,OF,current_preprocess,160,0.297785201300739,0.29627421739428456,0.297785201300739,0.29627421739428456,0.3677348165219826,0.39587057379161095,-0.009999999999999998,0.0,0.020271380643214525,0.008900135772243401,-0.568301673633845,-0.5956232978311966
COHFACE,OF,detrend_only,160,-0.0006469382100896272,-0.00027683520028437547,-0.0006469382100896255,-0.00027683520028437547,1.2576745200831851e-18,0.0,0.0020833333333333333,0.0,-1.1666761211475536e-05,-1.4966021680013625e-07,1.6549964633125175e-05,-3.691579045783655e-07
COHFACE,OF,helper_preprocess,160,0.3202199261266226,0.31210743999228235,0.32021992612662253,0.31210743999228235,0.5450127377513113,0.59820021394876,-0.004583333333333333,0.0,0.02357436018527037,0.0087315909408589,-0.7259612216865584,-0.7754578185721408
COHFACE,OF,robust_zscore_only,160,0.12948169684199748,0.12512706979172913,0.12948169684199748,0.12512706979172908,0.020028388678491174,0.0195666699165521,-0.01083333333333333,0.0,0.0021323970497066813,0.00011874004343120003,-0.11649640332256278,-0.09791793945506433
COHFACE,OF,sign_align_only,160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COHFACE,OF_bridge,bandpass_only,160,0.32277162830812417,0.32147147070024873,0.32277162830812417,0.3214714707002487,0.541626401767162,0.5934040691115386,-0.005833333333333333,0.0,0.02462708888321224,0.0082516235620295,-0.7127929855196334,-0.7609655502859288
COHFACE,OF_bridge,current_preprocess,160,0.297785201300739,0.29627421739428456,0.297785201300739,0.29627421739428456,0.3677348165219826,0.39587057379161095,-0.009999999999999998,0.0,0.020271380643214525,0.008900135772243401,-0.568301673633845,-0.5956232978311966
COHFACE,OF_bridge,detrend_only,160,-0.0006469382100896272,-0.00027683520028437547,-0.0006469382100896255,-0.00027683520028437547,1.2576745200831851e-18,0.0,0.0020833333333333333,0.0,-1.1666761211475536e-05,-1.4966021680013625e-07,1.6549964633125175e-05,-3.691579045783655e-07
COHFACE,OF_bridge,helper_preprocess,160,0.3202199261266226,0.31210743999228235,0.32021992612662253,0.31210743999228235,0.5450127377513113,0.59820021394876,-0.004583333333333333,0.0,0.02357436018527037,0.0087315909408589,-0.7259612216865584,-0.7754578185721408
COHFACE,OF_bridge,robust_zscore_only,160,0.12948169684199748,0.12512706979172913,0.12948169684199748,0.12512706979172908,0.020028388678491174,0.0195666699165521,-0.01083333333333333,0.0,0.0021323970497066813,0.00011874004343120003,-0.11649640332256278,-0.09791793945506433
COHFACE,OF_bridge,sign_align_only,160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COHFACE,P1D_cons,bandpass_only,160,0.008207443349301945,0.013373999567389966,0.008207443349301935,0.013373999567389994,0.02896472072759728,0.03007566353561153,-0.0025,0.0,-0.005325972382260849,-0.0012746877312365809,-0.008110237652810205,-0.005227836727133192
COHFACE,P1D_cons,current_preprocess,160,0.006049925753320366,0.0024131308178169664,0.006049925753320368,0.0024131308178169664,0.00545954178750273,0.0036666764917616668,0.0,0.0,-0.0031613764164623455,9.19917354615064e-05,-0.0003557563733027766,-0.0007715859507724911
COHFACE,P1D_cons,detrend_only,160,0.0006533594058514072,0.000238739102949026,0.0006533594058514023,0.000238739102949026,-1.4051260155412137e-17,0.0,0.0,0.0,0.00012079170266967542,1.3432749292261012e-05,-2.671850395814271e-06,-1.1078899276884815e-07
COHFACE,P1D_cons,helper_preprocess,160,0.004830524742061443,0.010270230347838527,0.0048305247420614384,0.010270230347838583,0.024580690223501355,0.02524645351026028,-0.00125,0.0,-0.005379619637492024,-0.0009585437383347619,-0.008320218521820745,-0.005403172817133888
COHFACE,P1D_cons,robust_zscore_only,160,0.0038876583675575517,0.0,0.0038876583675575504,0.0,0.0013820381357351197,0.0,0.00041666666666666675,0.0,-0.003492718011232013,0.0,0.0009795532082257682,0.0
COHFACE,P1D_cons,sign_align_only,160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COHFACE,P1D_cub,bandpass_only,160,-0.17372739808570264,-0.1764532735159992,-0.17372739808570264,-0.1764532735159992,0.11235992099908276,0.11481458822888169,-0.09708333333333329,-0.0666666666666666,0.5311773131598267,0.5369208578038995,-0.6634810493082626,-0.6673933344770199
COHFACE,P1D_cub,current_preprocess,160,0.2719382278996515,0.265060058658657,0.2719382278996515,0.265060058658657,0.4331936001521589,0.4558020367011262,-0.003333333333333333,0.0,0.020130664901237546,0.007816695884774901,-0.5318839438687327,-0.54437631840594
COHFACE,P1D_cub,detrend_only,160,-0.00030145193837791725,-6.6907135368513e-05,-0.00030145193837791465,-6.6907135368513e-05,-1.5872719805187786e-17,0.0,0.0,0.0,-1.3521382637108032e-05,4.487578659000341e-07,1.7768773206267018e-05,-7.272103810795905e-07
COHFACE,P1D_cub,helper_preprocess,160,0.31874011687372483,0.3100434731626659,0.31874011687372483,0.3100434731626659,0.625401082784081,0.6589290147239741,-0.002500000000000003,0.0,0.012728038320954222,0.0051797252034978996,-0.6539623180847777,-0.6636693039547428
COHFACE,P1D_cub,robust_zscore_only,160,0.04372833498835236,0.028554222104989396,0.04372833498835236,0.028554222104989396,0.006746357545767465,0.004838669431585545,-0.004999999999999999,0.0,0.00175340346996455,2.1084577591049848e-05,-0.04067153704090773,-0.020582220539576368
COHFACE,P1D_cub,sign_align_only,160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COHFACE,P1D_lin,bandpass_only,160,-0.07302236051961894,-0.06315325256769123,-0.07302236051961894,-0.06315325256769123,0.13226688080511678,0.14103868517597007,-0.10499999999999995,-0.0666666666666666,0.5240984584280856,0.5365046493060183,-0.7608331325855315,-0.8468479033272703
COHFACE,P1D_lin,current_preprocess,160,0.30427615692941534,0.30043945973945235,0.30427615692941534,0.30043945973945235,0.3437310519119546,0.3416074110984868,0.0016666666666666663,0.0,0.015216036043316306,0.013039449687411301,-0.5814062093370683,-0.5955813900531077
