dataset,video,subject,trial,family,stage,video_path,cache_path,n_samples,duration_sec,fs_obs,fs_gt,stage_mean,stage_std,stage_median,stage_mad,stage_sigma_hat,stage_clipped_frac,scale_ratio_to_gt,corr_wave_best,ccc_wave_best_z,lag_wave_sec,sign_wave_best,corr_deriv_best,ccc_deriv_best_z,lag_deriv_sec,sign_deriv_best,peak_hz,gt_peak_hz,peak_error_hz,peak_power,peak_sharpness,harmonic_ratio,lowfreq_energy_ratio,band_energy_ratio,highfreq_energy_ratio,vs_saved_base_rmse,vs_saved_base_corr,roi_snr_db_mean,valid_ratio_mean,center_disp_mean,roi_mean_mean,roi_std_mean,center_disp_std
MAHNOB,mahnob_10,MAHNOB,10,DoF,bandpass_only,dataset/MAHNOB/10/P1-Rec1-2009.07.09.17.53.46_C1 trigger _C_Section_10.avi,dataset/MAHNOB/10/obs_dof.npy,8323,136.44262295081967,61.0,256.0,58.88568438861821,450.4270686692885,-6.815552246374471,154.4570591689086,228.99803592382383,0.0,0.0823590459359977,0.0914118458764583,0.0914118458764583,-0.4426229508196721,-1.0,0.0723285076842352,0.0723285076842352,-2.0327868852459017,1.0,0.1333333333333333,0.1333333333333333,0.0,243416.84644098967,1.4455341159864203,1.1937342035904386,0.1265250532880312,0.6320894882199187,0.0247913502087538,4626.58845966586,0.0960244065203544,17.170831678235604,1.0,0.0014707265166152,82.04514854244175,11.369471963582733,0.0033103562399795
MAHNOB,mahnob_10,MAHNOB,10,DoF,current_preprocess,dataset/MAHNOB/10/P1-Rec1-2009.07.09.17.53.46_C1 trigger _C_Section_10.avi,dataset/MAHNOB/10/obs_dof.npy,8323,136.44262295081967,61.0,256.0,0.2067177223324793,1.3774253607901026,0.0,0.6744907594765952,1.0,0.0182626456806439,0.0003596495734286,0.1656386988810396,0.1656386988810396,2.6557377049180326,-1.0,0.0509285213567017,0.0509285213567017,-0.6065573770491803,-1.0,0.1333333333333333,0.1333333333333333,0.0,2.675139279423274,1.7499634573926048,0.968696357563642,0.1075924517068914,0.4380198227256214,0.217445331759632,4673.737473165253,0.1416815940011912,17.170831678235604,1.0,0.0014707265166152,82.04514854244175,11.369471963582733,0.0033103562399795
MAHNOB,mahnob_10,MAHNOB,10,DoF,detrend_only,dataset/MAHNOB/10/P1-Rec1-2009.07.09.17.53.46_C1 trigger _C_Section_10.avi,dataset/MAHNOB/10/obs_dof.npy,8323,136.44262295081967,61.0,256.0,-1.9931735384282365e-13,3819.763452667601,-1233.8433540203482,425.9008578058488,631.4406117829514,0.0,0.2270973466732526,0.0097459677508338,0.0097459677508338,2.836065573770492,-1.0,0.0197432691012037,0.0197432691012037,-1.098360655737705,-1.0,0.1333333333333333,0.1333333333333333,0.0,351192.8101566201,1.60723643953444,1.016999138506395,0.0011464254472796,0.0052211330106219,0.990937013377938,2693.665021216476,0.9993319275324052,17.170831678235604,1.0,0.0014707265166152,82.04514854244175,11.369471963582733,0.0033103562399795
MAHNOB,mahnob_10,MAHNOB,10,DoF,helper_preprocess,dataset/MAHNOB/10/P1-Rec1-2009.07.09.17.53.46_C1 trigger _C_Section_10.avi,dataset/MAHNOB/10/obs_dof.npy,8323,136.44262295081967,61.0,256.0,1.7074197663344952e-17,1.0,-0.0430271286780864,0.5026206218761751,0.7451853339936171,0.0,0.000268005587496,0.0767747906227671,0.076774790622767,-3.0,-1.0,0.0833768194109641,0.0833768194109641,-1.9508196721311477,1.0,0.1333333333333333,0.1333333333333333,0.0,2.7481364347165176,1.4636709104816503,1.181082385342059,0.0753649527119432,0.7007729501473898,0.018106303362788,4673.935466324746,0.098413800396252,17.170831678235604,1.0,0.0014707265166152,82.04514854244175,11.369471963582733,0.0033103562399795
MAHNOB,mahnob_10,MAHNOB,10,DoF,raw,dataset/MAHNOB/10/P1-Rec1-2009.07.09.17.53.46_C1 trigger _C_Section_10.avi,dataset/MAHNOB/10/obs_dof.npy,8323,136.44262295081967,61.0,256.0,2690.040249909888,3822.317037442736,1458.0,443.0,656.7918,0.0,0.2362148907014231,0.0201716270554776,0.0201716270554776,2.836065573770492,-1.0,0.0197432691012037,0.0197432691012037,-1.098360655737705,-1.0,0.1333333333333333,0.1333333333333333,0.0,352690.06566626375,1.613654350816402,1.0146042620388998,0.001153367867976,0.0052233983818294,0.9909172797918449,0.0,1.0,17.170831678235604,1.0,0.0014707265166152,82.04514854244175,11.369471963582733,0.0033103562399795
MAHNOB,mahnob_10,MAHNOB,10,DoF,robust_zscore_only,dataset/MAHNOB/10/P1-Rec1-2009.07.09.17.53.46_C1 trigger _C_Section_10.avi,dataset/MAHNOB/10/obs_dof.npy,8323,136.44262295081967,61.0,256.0,0.5764227383206514,1.7981959672656895,0.0,0.6744907594765952,1.0,0.1075333413432656,0.0003596495734286,0.0746848357039567,0.0746848357039567,-0.4426229508196721,-1.0,0.0208038345670582,0.0208038345670582,-1.098360655737705,-1.0,0.1333333333333333,0.1333333333333333,0.0,0.6457732131153653,1.691079058573064,1.0976315751527648,0.0095105358260416,0.0451556045175602,0.9246645381436808,4672.422107772853,0.85825843955237,17.170831678235604,1.0,0.0014707265166152,82.04514854244175,11.369471963582733,0.0033103562399795
MAHNOB,mahnob_10,MAHNOB,10,DoF,sign_align_only,dataset/MAHNOB/10/P1-Rec1-2009.07.09.17.53.46_C1 trigger _C_Section_10.avi,dataset/MAHNOB/10/obs_dof.npy,8323,136.44262295081967,61.0,256.0,2690.040249909888,3822.317037442736,1458.0,443.0,656.7918,0.0,0.2362148907014231,0.0201716270554776,0.0201716270554776,2.836065573770492,-1.0,0.0197432691012037,0.0197432691012037,-1.098360655737705,-1.0,0.1333333333333333,0.1333333333333333,0.0,352690.06566626375,1.613654350816402,1.0146042620388998,0.001153367867976,0.0052233983818294,0.9909172797918449,0.0,1.0,17.170831678235604,1.0,0.0014707265166152,82.04514854244175,11.369471963582733,0.0033103562399795
MAHNOB,mahnob_1042,MAHNOB,1042,DoF,bandpass_only,dataset/MAHNOB/1042/P9-Rec1-2009.07.23.14.55.41_C1 trigger _C_Section_2.avi,dataset/MAHNOB/1042/obs_dof.npy,6573,107.75409836065572,61.0,256.0,57.71012479333945,686.8517401890649,-16.691312851979827,146.0017331310389,216.46216954007824,0.0,0.444920974143182,0.150529483478298,0.150529483478298,0.1639344262295081,1.0,0.0460121210793866,0.0460121210793866,-2.459016393442623,-1.0,0.2666666666666666,0.1333333333333333,0.1333333333333333,1615666.748586003,2.77864899072588,0.1346584501599698,0.0486072172381387,0.7785865172817718,0.0344779955361477,3308.974616046419,0.2679225160609134,8.462698925872468,1.0,0.0019256905066413,66.97972350298977,25.19094271902114,0.0013822698962324
MAHNOB,mahnob_1042,MAHNOB,1042,DoF,current_preprocess,dataset/MAHNOB/1042/P9-Rec1-2009.07.23.14.55.41_C1 trigger _C_Section_2.avi,dataset/MAHNOB/1042/obs_dof.npy,6573,107.75409836065572,61.0,256.0,0.8895714444786132,2.0546364486974724,0.0,0.6744907594765952,1.0,0.1350981287083523,0.0020554213934403,0.2661846626799971,0.2661846626799971,-3.0,-1.0,0.02392670713242,0.02392670713242,1.2950819672131149,1.0,0.1333333333333333,0.1333333333333333,0.0,2.652547572297014,1.6356298234512272,1.2732861035555298,0.1458242580086586,0.3835299822634754,0.2355981704922616,3424.605511382711,0.3929325198664304,8.462698925872468,1.0,0.0019256905066413,66.97972350298977,25.19094271902114,0.0013822698962324
MAHNOB,mahnob_1042,MAHNOB,1042,DoF,detrend_only,dataset/MAHNOB/1042/P9-Rec1-2009.07.23.14.55.41_C1 trigger _C_Section_2.avi,dataset/MAHNOB/1042/obs_dof.npy,6573,107.75409836065572,61.0,256.0,-4.782007742776875e-13,2741.454916328535,-899.2027967669392,698.3310332122223,1035.3455898404409,0.0,2.128071474962127,0.0882962508071024,0.0882962508071024,-2.5737704918032787,1.0,0.0389492171550573,0.0389492171550573,0.639344262295082,1.0,0.2666666666666666,0.1333333333333333,0.1333333333333333,1662343.201609102,2.445451342641523,0.2288238773563844,0.0114517176813415,0.0406236180190033,0.9289994321431274,2054.351505839691,0.9733139283512684,8.462698925872468,1.0,0.0019256905066413,66.97972350298977,25.19094271902114,0.0013822698962324
