dataset,family,variant,method,source_layer,rate_source,rate_MAE,rate_RMSE,rate_PearsonR,rate_N,waveform_CCC,waveform_MAE,waveform_DTW,waveform_N,strict_CCC,strict_MAE,strict_RMSE,strict_DTW,strict_NMAE_span,strict_NRMSE_span,strict_NDTW_span,strict_N,cycle_ppi_mae_s,cycle_ie_abs_err,diag_NIS_Mean,diag_NIS_InBand,diag_Lambda_Mean,diag_Stability_Sec,diag_N
COHFACE,P1D_cub,family_PARH,profile1d_cubic__parh_ossm,20260409_cohface_allfamily_full_dataset,track_hz,0.3000,0.3800,0.8700,160,0.8464,0.4311,0.3491,160,0.1188,0.7734,0.9366,0.5593,0.8856,1.0798,0.6408,160,0.5670,0.1269,0.8333,0.9557,1.0125,60.5000,160
COHFACE,P1D_cons,Base,profile1d_consensus,20260409_cohface_allfamily_full_dataset,signal_spectral,0.2200,0.3000,0.9200,160,0.7859,0.4819,0.3953,160,0.1044,0.8079,1.0325,0.5928,0.9488,1.2200,0.7242,160,0.6018,0.1247,,,,,160
COHFACE,P1D_cons,OSSM-KF,profile1d_consensus__kfstd,20260409_cohface_allfamily_full_dataset,track_hz,0.4450,0.5500,0.7800,160,0.8227,0.4382,0.3636,160,0.1084,0.7629,0.9323,0.5383,0.8807,1.1200,0.6483,160,0.5062,0.1008,,,,60.4500,160
COHFACE,P1D_cons,family_PARH,profile1d_consensus__parh_ossm,20260409_cohface_allfamily_full_dataset,track_hz,0.2850,0.3600,0.8300,160,0.8247,0.4433,0.3689,160,0.1111,0.7654,0.9293,0.5389,0.8763,1.1054,0.6340,160,0.5104,0.0996,0.8249,0.9616,1.0107,60.5000,160
COHFACE,PARH-OSSM,PARH-OSSM,parh_ossm,final_full_validation/cohface,track_hz,0.3350,0.4100,0.8550,160,0.8585,0.4234,0.3475,160,0.1566,0.5043,0.5811,0.3024,0.5485,0.6202,0.2920,160,0.3466,0.0904,0.9359,1.0000,1.0456,60.9250,160
MAHNOB,OF,Base,of_farneback,20260409_mahnob_allfamily_full_dataset,signal_spectral,6.2300,7.5300,-0.0100,525,0.3447,0.9426,0.6610,490,0.0000,916.1782,1331.2683,897.3261,0.1872,0.2658,0.1794,525,1.4312,0.3535,,,,,525
MAHNOB,OF,OSSM-KF,of_farneback__kfstd,20260409_mahnob_allfamily_full_dataset,track_hz,3.3200,4.0100,-0.0400,525,0.3469,0.9448,0.6712,490,0.0000,916.1303,1331.2607,897.2642,0.1872,0.2658,0.1794,525,1.2880,0.3242,,,,117.9505,525
MAHNOB,OF,family_PARH,of_farneback__parh_ossm,20260409_mahnob_allfamily_full_dataset,track_hz,3.7100,4.4100,0.0000,525,0.3062,0.9682,0.6940,490,0.0000,916.2172,1331.2697,897.2323,0.1872,0.2658,0.1794,525,1.3541,0.3197,0.9757,0.9302,1.0285,7.9344,525
MAHNOB,OF_bridge,Base,of_disp_bridge,20260409_mahnob_allfamily_full_dataset,signal_spectral,7.0900,7.9900,-0.0100,525,0.4450,0.9222,0.6345,490,0.0000,916.1780,1331.2676,897.3279,0.1872,0.2658,0.1794,525,1.8255,0.4258,,,,,525
MAHNOB,OF_bridge,OSSM-KF,of_disp_bridge__kfstd,20260409_mahnob_allfamily_full_dataset,track_hz,4.8800,5.4500,-0.0500,525,0.4306,0.9340,0.6500,490,0.0000,916.2414,1331.2412,897.3831,0.1872,0.2658,0.1794,525,1.9059,0.3651,,,,117.9505,525
