method,kurtosis,t_aic_delta,t_fit_nu,hill_alpha,shapiro_pval,nis_mean,lambda_mean,lambda_lt1_frac,lambda_low_frac,fail_total,student_t_justified,status,incomplete,n_expected,n_valid,n_skipped
dof__robust_ossm_ekf,0.5375237228650942,1169.9134362774494,18.78016572702764,4.346837844555753,3.4054500545078126e-05,0.15609080268130343,1.0736462501859507,0.013557612873263847,0.0,0.2669716912145442,False,partial_with_skips,True,160,160,160
of_farneback__robust_ossm_ekf,52.042743215087285,72259.57167482283,3.647493988365653,2.85157744703496,9.169890645167123e-23,0.23274655872222771,1.0677663702592712,0.02770849272143646,0.0008687933974440842,0.10762105532346826,True,partial_with_skips,True,160,160,160
profile1d_cubic__robust_ossm_ekf,2.5960087160492575,12897.867890184883,5.1811615018365345,3.3995631368942294,3.863477913439659e-15,0.08355823362730758,1.0757391621408705,0.005149979521084222,0.0,0.09589732078885663,True,partial_with_skips,True,160,160,160
profile1d_linear__robust_ossm_ekf,5.874187260491235,38586.32008418381,2.911015506566465,2.845993362942349,4.4421737285769316e-57,0.11540577341052524,1.0734325056736147,0.01577379337890016,0.0,0.1456345396570922,True,partial_with_skips,True,160,160,160
profile1d_quadratic__robust_ossm_ekf,2.543764734588051,12800.806138673863,5.18553300806913,3.4074115419996467,9.779974433623633e-15,0.08171637391875282,1.0758945797124277,0.004858598229473458,0.0,0.09726534632462691,True,partial_with_skips,True,160,160,160
