method,trial,n_frames,kurtosis,t_aic_delta,t_fit_nu,hill_alpha,shapiro_pval,nis_mean,lambda_mean,lambda_lt1_frac,lambda_low_frac,fail_total
dof__robust_ossm_ekf,10_0,1227,-0.16969493910411781,-3.1593347044683924,100.00166691001971,4.830778749957726,0.0029249383053576244,0.10798742840838724,1.0778754231210992,0.0,0.0,0.05704971475142624
dof__robust_ossm_ekf,10_1,1227,-0.47498946996923364,-4.583946173799404,115.25287318751035,5.433060274596301,2.6546830744666136e-05,0.11499470135696876,1.0771693029925942,0.0,0.0,0.2306438467807661
dof__robust_ossm_ekf,10_2,1221,-0.5950263640376066,-4.98093593650583,123.61682231801424,6.003106014441689,8.359733314683695e-07,0.09314209680436016,1.0792424404683536,0.0,0.0,0.4168714168714169
dof__robust_ossm_ekf,10_3,1228,0.04676011918250955,-1.8785352907734705,56.85130853548231,5.129722404777831,0.00011713629862312093,0.1932837944270393,1.0702518747652219,0.03013029315960912,0.0,0.13273615635179153
dof__robust_ossm_ekf,11_0,1226,-0.22827610090490547,-3.4404627262729264,102.60634057976003,5.9485840925191855,1.2158004590823472e-06,0.10711362165296809,1.0779544418540834,0.0,0.0,0.32871125611745516
dof__robust_ossm_ekf,11_1,1265,-0.23655887190296454,-3.5421706794961665,103.71983989717951,5.20907325280935,0.0006879096918023277,0.1250687192686027,1.0762683315846984,0.0,0.0,0.37628458498023715
dof__robust_ossm_ekf,11_2,1226,0.7705329801924998,22.52924374660813,8.319543004793738,4.696382631464368,5.756951426162687e-12,0.13137985367575253,1.0757992920301542,0.008156606851549755,0.0,0.2740619902120718
dof__robust_ossm_ekf,11_3,1227,-0.032664618360123576,-2.3845508340176593,99.9999972918522,4.820398677651085,0.0008095163637529568,0.07996759822256728,1.0805616737032866,0.0,0.0,0.5965770171149144
dof__robust_ossm_ekf,12_0,1577,-0.36381908829127996,-4.576951413807819,115.13438747849493,5.528603378503998,9.615601043730835e-09,0.128807748374071,1.0759067645627833,0.003804692454026633,0.0,0.12999365884590997
dof__robust_ossm_ekf,12_1,1224,-0.0012471667330467007,-2.286308929621555,78.21030029261838,4.689315342355285,8.316137966486959e-06,0.15165260877298536,1.0739168727571455,0.008986928104575163,0.0,0.23937908496732027
dof__robust_ossm_ekf,12_2,1285,-0.6420145043044481,-5.175061905498978,131.65502772572913,6.216795306665552,4.288571169371221e-08,0.15470234994680782,1.0734117469011746,0.0038910505836575876,0.0,0.45603112840466925
dof__robust_ossm_ekf,12_3,1233,0.22953921976876712,0.7732217846644289,24.042016878849562,4.883383150598526,3.198272078253524e-07,0.15502811675545503,1.0736291874588606,0.012165450121654502,0.0,0.5060827250608273
